t F Q M0 M1
1.0 -0.005025125628140704 0.0 0.066504251091006 0.0
1.0 0.005025125628140704 0.0 0.066504251091006 0.0
1.0 0.01507537688442211 0.0 0.1103765308798231 0.0
1.0 0.02512562814070352 0.0 0.13731543697169102 0.0
1.0 0.035175879396984924 0.0 0.15699775676368316 0.0
1.0 0.04522613065326633 0.0 0.1723144828977859 0.0
1.0 0.05527638190954774 0.0 0.18461756301944446 0.0
1.0 0.06532663316582915 0.0 0.19467466159798666 0.0
1.0 0.07537688442211056 0.0 0.20297392633351702 0.0
1.0 0.08542713567839195 0.0 0.2098499564499032 0.0
1.0 0.09547738693467336 0.0 0.21554474256983946 0.0
1.0 0.10552763819095477 0.0 0.22024050430182163 0.0
1.0 0.11557788944723618 0.0 0.22407884189057417 0.0
1.0 0.12562814070351758 0.0 0.2271726060441235 0.0
1.0 0.135678391959799 0.0 0.22961361859028873 0.0
1.0 0.1457286432160804 0.0 0.23147789583047293 0.0
1.0 0.15577889447236182 0.0 0.23282929982870407 0.0
1.0 0.1658291457286432 0.0 0.2337221622791614 0.0
1.0 0.17587939698492464 0.0 0.23420321520313175 0.0
1.0 0.18592964824120603 0.0 0.23431304102022898 0.0
1.0 0.19597989949748745 0.0 0.23408718135036627 0.0
1.0 0.20603015075376885 0.0 0.23355699838882443 0.0
1.0 0.21608040201005024 0.0 0.23275035354986645 0.0
1.0 0.22613065326633167 0.0 0.23169214891955459 0.0
1.0 0.23618090452261306 0.0 0.23040476417728953 0.0
1.0 0.24623115577889448 0.0 0.22890841280310945 0.0
1.0 0.2562814070351759 0.0 0.2272214352040803 0.0
1.0 0.2663316582914573 0.0 0.22536054199552674 0.0
1.0 0.2763819095477387 0.0 0.22334101749731536 0.0
1.0 0.2864321608040201 0.0 0.2211768911801059 0.0
1.0 0.2964824120603015 0.0 0.21888108307180526 0.0
1.0 0.3065326633165829 0.0 0.2164655278400947 0.0
1.0 0.3165829145728643 0.0 0.21394128128484166 0.0
1.0 0.32663316582914576 0.0 0.21131861222152704 0.0
1.0 0.33668341708542715 0.0 0.20860708215451204 0.0
1.0 0.34673366834170855 0.0 0.20581561468450846 0.0
1.0 0.35678391959798994 0.0 0.20295255623701827 0.0
1.0 0.36683417085427134 0.0 0.2000257294149769 0.0
1.0 0.3768844221105528 0.0 0.19704248005240438 0.0
1.0 0.3869346733668342 0.0 0.19400971886380888 0.0
1.0 0.3969849246231156 0.0 0.19093395843678543 0.0
1.0 0.40703517587939697 0.0 0.18782134619534124 0.0
1.0 0.4170854271356784 0.0 0.18467769386331698 0.0
1.0 0.4271356783919598 0.0 0.18150850387648487 0.0
1.0 0.4371859296482412 0.0 0.17831899312507035 0.0
1.0 0.4472361809045226 0.0 0.17511411435289112 0.0
1.0 0.457286432160804 0.0 0.1718985754929168 0.0
1.0 0.46733668341708545 0.0 0.16867685718014258 0.0
1.0 0.47738693467336685 0.0 0.1654532286499036 0.0
1.0 0.48743718592964824 0.0 0.1622317622020443 0.0
1.0 0.49748743718592964 0.0 0.15901634638784318 0.0
1.0 0.507537688442211 0.0 0.15581069805655226 0.0
1.0 0.5175879396984925 0.0 0.15261837338129425 0.0
1.0 0.5276381909547738 0.0 0.14944277796936015 0.0
1.0 0.5376884422110553 0.0 0.14628717614932335 0.0
1.0 0.5477386934673367 0.0 0.14315469951647203 0.0
1.0 0.5577889447236181 0.0 0.14004835480862188 0.0
1.0 0.5678391959798995 0.0 0.13697103117618017 0.0
1.0 0.577889447236181 0.0 0.13392550690319446 0.0
1.0 0.5879396984924623 0.0 0.13091445562989662 0.0
1.0 0.5979899497487438 0.0 0.12794045212180957 0.0
1.0 0.6080402010050251 0.0 0.12500597762570417 0.0
1.0 0.6180904522613065 0.0 0.12211342484849945 0.0
1.0 0.628140703517588 0.0 0.11926510259149892 0.0
1.0 0.6381909547738693 0.0 0.11646324006908934 0.0
1.0 0.6482412060301508 0.0 0.11370999093814166 0.0
1.0 0.6582914572864321 0.0 0.11100743706178831 0.0
1.0 0.6683417085427136 0.0 0.10835759202897728 0.0
1.0 0.678391959798995 0.0 0.10576240444917798 0.0
1.0 0.6884422110552764 0.0 0.10322376103980484 0.0
1.0 0.6984924623115578 0.0 0.10074348952231434 0.0
1.0 0.7085427135678392 0.0 0.09832336134148419 0.0
1.0 0.7185929648241206 0.0 0.09596509422109023 0.0
1.0 0.7286432160804021 0.0 0.0936703545680352 0.0
1.0 0.7386934673366834 0.0 0.09144075973593539 0.0
1.0 0.7487437185929648 0.0 0.08927788015823404 0.0
1.0 0.7587939698492463 0.0 0.08718324136005788 0.0
1.0 0.7688442211055276 0.0 0.08515832585726654 0.0
1.0 0.7788944723618091 0.0 0.08320457495045405 0.0
1.0 0.7889447236180904 0.0 0.08132339042102743 0.0
1.0 0.7989949748743719 0.0 0.07951613613592268 0.0
1.0 0.8090452261306533 0.0 0.07778413956699774 0.0
1.0 0.8190954773869347 0.0 0.076128693230671 0.0
1.0 0.8291457286432161 0.0 0.07455105605294668 0.0
1.0 0.8391959798994975 0.0 0.07305245466457665 0.0
1.0 0.8492462311557789 0.0 0.07163408463075102 0.0
1.0 0.8592964824120604 0.0 0.07029711161938469 0.0
1.0 0.8693467336683417 0.0 0.06904267251176881 0.0
1.0 0.8793969849246231 0.0 0.06787187645908185 0.0
1.0 0.8894472361809045 0.0 0.06678580588800628 0.0
1.0 0.8994974874371859 0.0 0.06578551745846603 0.0
1.0 0.9095477386934674 0.0 0.06487204297628879 0.0
1.0 0.9195979899497487 0.0 0.06404639026340363 0.0
1.0 0.9296482412060302 0.0 0.0633095439880058 0.0
1.0 0.9396984924623115 0.0 0.06266246645695554 0.0
1.0 0.949748743718593 0.0 0.0621060983725257 0.0
1.0 0.9597989949748744 0.0 0.06164135955547465 0.0
1.0 0.9698492462311558 0.0 0.061269149636288406 0.0
1.0 0.9798994974874372 0.0 0.06099034871631998 0.0
1.0 0.9899497487437187 0.0 0.06080581800043968 0.0
1.0 1.0 99.5 0.06071640040271039 0.0
1.0 1.0100502512562815 0.0 0.06072292112650489 0.0
1.0 1.020100502512563 0.0 0.06082618822039483 0.0
1.0 1.0301507537688441 0.0 0.061026993111059254 0.0
1.0 1.0402010050251256 0.0 0.061326111114384275 0.0
1.0 1.050251256281407 0.0 0.06172430192585443 0.0
1.0 1.0603015075376885 0.0 0.06222231009127127 0.0
1.0 1.07035175879397 0.0 0.06282086545877266 0.0
1.0 1.0804020100502514 0.0 0.06352068361306948 0.0
1.0 1.0904522613065326 0.0 0.06432246629276342 0.0
1.0 1.100502512562814 0.0 0.06522690179155942 0.0
1.0 1.1105527638190955 0.0 0.06623466534414006 0.0
1.0 1.120603015075377 0.0 0.06734641949742647 0.0
1.0 1.1306532663316584 0.0 0.06856281446790842 0.0
1.0 1.1407035175879396 0.0 0.06988448848569011 0.0
1.0 1.150753768844221 0.0 0.07131206812586154 0.0
1.0 1.1608040201005025 0.0 0.07284616862777153 0.0
1.0 1.170854271356784 0.0 0.07448739420275001 0.0
1.0 1.1809045226130654 0.0 0.07623633833079388 0.0
1.0 1.1909547738693467 0.0 0.07809358404670788 0.0
1.0 1.2010050251256281 0.0 0.08005970421616194 0.0
1.0 1.2110552763819096 0.0 0.0821352618021056 0.0
1.0 1.221105527638191 0.0 0.08432081012195576 0.0
1.0 1.2311557788944725 0.0 0.08661689309595219 0.0
1.0 1.2412060301507537 0.0 0.08902404548705749 0.0
1.0 1.2512562814070352 0.0 0.09154279313275618 0.0
1.0 1.2613065326633166 0.0 0.09417365316909185 0.0
1.0 1.271356783919598 0.0 0.09691713424726445 0.0
1.0 1.2814070351758795 0.0 0.09977373674309319 0.0
1.0 1.2914572864321607 0.0 0.10274395295963512 0.0
1.0 1.3015075376884422 0.0 0.10582826732323788 0.0
1.0 1.3115577889447236 0.0 0.10902715657328803 0.0
1.0 1.321608040201005 0.0 0.11234108994590795 0.0
1.0 1.3316582914572865 0.0 0.11577052935183883 0.0
1.0 1.3417085427135678 0.0 0.11931592954873782 0.0
1.0 1.3517587939698492 0.0 0.12297773830810844 0.0
1.0 1.3618090452261307 0.0 0.12675639657706728 0.0
1.0 1.3718592964824121 0.0 0.13065233863514983 0.0
1.0 1.3819095477386936 0.0 0.1346659922463401 0.0
1.0 1.3919597989949748 0.0 0.13879777880650596 0.0
1.0 1.4020100502512562 0.0 0.14304811348641244 0.0
1.0 1.4120603015075377 0.0 0.14741740537047596 0.0
1.0 1.4221105527638191 0.0 0.15190605759141892 0.0
1.0 1.4321608040201006 0.0 0.15651446746097208 0.0
1.0 1.4422110552763818 0.0 0.16124302659677162 0.0
1.0 1.4522613065326633 0.0 0.1660921210455856 0.0
1.0 1.4623115577889447 0.0 0.17106213140300197 0.0
1.0 1.4723618090452262 0.0 0.17615343292970662 0.0
1.0 1.4824120603015076 0.0 0.18136639566446822 0.0
1.0 1.4924623115577889 0.0 0.18670138453394797 0.0
1.0 1.5025125628140703 0.0 0.19215875945944455 0.0
1.0 1.5125628140703518 0.0 0.19773887546068028 0.0
1.0 1.5226130653266332 0.0 0.20344208275672887 0.0
1.0 1.5326633165829147 0.0 0.20926872686418557 0.0
1.0 1.542713567839196 0.0 0.21521914869267017 0.0
1.0 1.5527638190954773 0.0 0.22129368463775378 0.0
1.0 1.5628140703517588 0.0 0.22749266667139795 0.0
1.0 1.5728643216080402 0.0 0.23381642242998246 0.0
1.0 1.5829145728643217 0.0 0.24026527530001066 0.0
1.0 1.5929648241206031 0.0 0.2468395445015607 0.0
1.0 1.6030150753768844 0.0 0.2535395451695586 0.0
1.0 1.6130653266331658 0.0 0.26036558843294777 0.0
1.0 1.6231155778894473 0.0 0.2673179814918144 0.0
1.0 1.6331658291457287 0.0 0.2743970276925438 0.0
1.0 1.6432160804020102 0.0 0.28160302660106096 0.0
1.0 1.6532663316582914 0.0 0.28893627407422323 0.0
1.0 1.6633165829145728 0.0 0.2963970623294201 0.0
1.0 1.6733668341708543 0.0 0.3039856800124335 0.0
1.0 1.6834170854271358 0.0 0.3117024122636186 0.0
1.0 1.6934673366834172 0.0 0.31954754078245107 0.0
1.0 1.7035175879396984 0.0 0.3275213438904938 0.0
1.0 1.7135678391959799 0.0 0.33562409659283093 0.0
1.0 1.7236180904522613 0.0 0.34385607063801515 0.0
1.0 1.7336683417085428 0.0 0.3522175345765725 0.0
1.0 1.7437185929648242 0.0 0.3607087538181091 0.0
1.0 1.7537688442211055 0.0 0.3693299906870596 0.0
1.0 1.763819095477387 0.0 0.3780815044771206 0.0
