Strike Hagan NormalHagan HaganDensity HaganUniformLV HaganLVHarmonic HaganLVBessel HaganLVCubic HaganLVHyman
0.0650 1.37e+00 1.35e+00 1.142e+00 1.138e+00 1.448e+00 1.544e+00 1.477e+00 1.477e+00
0.0663 1.25e+00 1.23e+00 1.142e+00 1.015e+00 1.424e+00 1.135e+00 1.344e+00 1.344e+00
0.0675 1.15e+00 1.12e+00 1.142e+00 9.048e-01 1.399e+00 7.270e-01 1.211e+00 1.211e+00
0.0688 1.05e+00 1.03e+00 1.142e+00 8.107e-01 1.375e+00 3.187e-01 1.077e+00 1.077e+00
0.0700 9.69e-01 9.45e-01 1.142e+00 7.225e-01 8.357e-01 1.432e+00 1.000e+00 1.000e+00
0.0713 8.93e-01 8.70e-01 1.142e+00 6.474e-01 8.225e-01 1.244e+00 9.389e-01 9.389e-01
0.0725 8.25e-01 8.02e-01 1.142e+00 5.786e-01 8.094e-01 1.056e+00 8.778e-01 8.778e-01
0.0738 7.64e-01 7.41e-01 1.142e+00 5.161e-01 7.962e-01 8.678e-01 8.167e-01 8.167e-01
0.0750 7.08e-01 6.86e-01 6.124e-01 4.621e-01 7.830e-01 6.798e-01 7.557e-01 7.557e-01
0.0763 6.58e-01 6.36e-01 6.124e-01 4.112e-01 7.699e-01 4.917e-01 6.946e-01 6.946e-01
0.0775 6.12e-01 5.91e-01 6.124e-01 3.672e-01 7.567e-01 3.037e-01 6.335e-01 6.335e-01
0.0788 5.71e-01 5.50e-01 6.124e-01 3.266e-01 7.436e-01 1.156e-01 5.724e-01 5.724e-01
0.0800 5.33e-01 5.12e-01 6.124e-01 2.895e-01 4.483e-01 7.924e-01 5.404e-01 5.404e-01
0.0813 4.98e-01 4.78e-01 6.124e-01 2.570e-01 4.419e-01 7.105e-01 5.139e-01 5.139e-01
0.0825 4.67e-01 4.47e-01 6.124e-01 2.262e-01 4.356e-01 6.285e-01 4.874e-01 4.874e-01
0.0838 4.38e-01 4.18e-01 6.124e-01 1.994e-01 4.292e-01 5.466e-01 4.609e-01 4.609e-01
0.0850 4.11e-01 3.92e-01 6.124e-01 1.745e-01 4.229e-01 4.646e-01 4.344e-01 4.344e-01
0.0863 3.86e-01 3.67e-01 3.141e-01 1.515e-01 4.165e-01 3.827e-01 4.079e-01 4.079e-01
0.0875 3.64e-01 3.45e-01 3.141e-01 1.312e-01 4.102e-01 3.007e-01 3.814e-01 3.814e-01
0.0888 3.43e-01 3.25e-01 3.141e-01 1.120e-01 4.038e-01 2.188e-01 3.549e-01 3.549e-01
0.0900 3.23e-01 3.06e-01 3.141e-01 9.501e-02 3.975e-01 1.368e-01 3.285e-01 3.285e-01
0.0913 3.06e-01 2.88e-01 3.141e-01 7.923e-02 3.911e-01 5.489e-02 3.020e-01 3.020e-01
0.0925 2.89e-01 2.72e-01 3.141e-01 6.465e-02 2.335e-01 4.327e-01 2.855e-01 2.855e-01
0.0938 2.74e-01 2.57e-01 3.141e-01 5.148e-02 2.307e-01 3.988e-01 2.746e-01 2.746e-01
0.0950 2.59e-01 2.43e-01 3.141e-01 3.905e-02 2.278e-01 3.649e-01 2.637e-01 2.637e-01
0.0963 2.46e-01 2.30e-01 3.141e-01 2.889e-02 2.250e-01 3.310e-01 2.528e-01 2.528e-01
0.0975 2.34e-01 2.18e-01 3.141e-01 1.752e-02 2.222e-01 2.970e-01 2.418e-01 2.418e-01
0.0988 2.22e-01 2.07e-01 3.141e-01 4.933e-03 2.193e-01 2.631e-01 2.309e-01 2.309e-01
0.1000 2.11e-01 1.96e-01 3.141e-01 3.997e-14 2.165e-01 2.292e-01 2.200e-01 2.200e-01
0.1013 2.01e-01 1.86e-01 3.141e-01 -3.403e-03 2.137e-01 1.953e-01 2.091e-01 2.091e-01
0.1025 1.92e-01 1.77e-01 1.544e-01 -6.807e-03 2.108e-01 1.614e-01 1.982e-01 1.982e-01
0.1038 1.83e-01 1.69e-01 1.544e-01 -1.021e-02 2.080e-01 1.275e-01 1.873e-01 1.873e-01
0.1050 1.74e-01 1.61e-01 1.544e-01 -1.361e-02 2.052e-01 9.356e-02 1.764e-01 1.764e-01
0.1063 1.67e-01 1.53e-01 1.544e-01 -1.702e-02 2.023e-01 5.964e-02 1.654e-01 1.654e-01
0.1075 1.59e-01 1.46e-01 1.544e-01 -2.042e-02 1.995e-01 2.573e-02 1.545e-01 1.545e-01
0.1088 1.52e-01 1.39e-01 1.544e-01 -2.382e-02 1.179e-01 2.277e-01 1.459e-01 1.459e-01
0.1100 1.46e-01 1.33e-01 1.544e-01 -2.723e-02 1.167e-01 2.143e-01 1.416e-01 1.416e-01
0.1113 1.40e-01 1.27e-01 1.544e-01 -3.063e-02 1.155e-01 2.010e-01 1.373e-01 1.373e-01
0.1125 1.34e-01 1.21e-01 1.544e-01 -3.403e-02 1.143e-01 1.876e-01 1.330e-01 1.330e-01
0.1138 1.28e-01 1.16e-01 1.544e-01 -3.744e-02 1.131e-01 1.743e-01 1.288e-01 1.288e-01
0.1150 1.23e-01 1.11e-01 1.544e-01 -4.084e-02 1.119e-01 1.609e-01 1.245e-01 1.245e-01
0.1163 1.18e-01 1.07e-01 1.544e-01 -4.425e-02 1.107e-01 1.476e-01 1.202e-01 1.202e-01
0.1175 1.14e-01 1.02e-01 1.544e-01 -4.765e-02 1.096e-01 1.342e-01 1.159e-01 1.159e-01
0.1188 1.09e-01 9.80e-02 1.544e-01 -5.105e-02 1.084e-01 1.208e-01 1.116e-01 1.116e-01
0.1200 1.05e-01 9.41e-02 1.544e-01 -5.446e-02 1.072e-01 1.075e-01 1.074e-01 1.074e-01
0.1213 1.01e-01 9.03e-02 1.544e-01 -5.786e-02 1.060e-01 9.412e-02 1.031e-01 1.031e-01
0.1225 9.74e-02 8.67e-02 7.280e-02 -6.126e-02 1.048e-01 8.077e-02 9.880e-02 9.880e-02
0.1238 9.38e-02 8.34e-02 7.280e-02 -6.467e-02 1.036e-01 6.741e-02 9.452e-02 9.452e-02
0.1250 9.04e-02 8.02e-02 7.280e-02 -6.807e-02 1.025e-01 5.405e-02 9.024e-02 9.024e-02
