Scheme Strike Density
Hagan 0.4021 1.7139e-01
LMG3 0.4021 1.88e-01
LS 0.4021 1.90e-01
LMG2 0.4021 1.86e-01
RAN 0.4021 1.86e-01
RE 0.4021 1.87e-01
TRBDF2 0.4021 1.90e-01
CN 0.4021 1.89e-01
Hagan 0.4083 1.7622e-01
LMG3 0.4083 1.93e-01
LS 0.4083 1.95e-01
LMG2 0.4083 1.91e-01
RAN 0.4083 1.91e-01
RE 0.4083 1.92e-01
TRBDF2 0.4083 1.95e-01
CN 0.4083 1.94e-01
Hagan 0.4145 1.8113e-01
LMG3 0.4145 1.98e-01
LS 0.4145 2.00e-01
LMG2 0.4145 1.96e-01
RAN 0.4145 1.96e-01
RE 0.4145 1.98e-01
TRBDF2 0.4145 2.00e-01
CN 0.4145 1.99e-01
Hagan 0.4206 1.8611e-01
LMG3 0.4206 2.04e-01
LS 0.4206 2.05e-01
LMG2 0.4206 2.01e-01
RAN 0.4206 2.01e-01
RE 0.4206 2.03e-01
TRBDF2 0.4206 2.05e-01
CN 0.4206 2.05e-01
Hagan 0.4267 1.9119e-01
LMG3 0.4267 2.09e-01
LS 0.4267 2.11e-01
LMG2 0.4267 2.07e-01
RAN 0.4267 2.07e-01
RE 0.4267 2.08e-01
TRBDF2 0.4267 2.11e-01
CN 0.4267 2.10e-01
Hagan 0.4327 1.9635e-01
LMG3 0.4327 2.14e-01
LS 0.4327 2.16e-01
LMG2 0.4327 2.12e-01
RAN 0.4327 2.12e-01
RE 0.4327 2.14e-01
TRBDF2 0.4327 2.16e-01
CN 0.4327 2.15e-01
Hagan 0.4387 2.0160e-01
LMG3 0.4387 2.20e-01
LS 0.4387 2.22e-01
LMG2 0.4387 2.18e-01
RAN 0.4387 2.18e-01
RE 0.4387 2.20e-01
TRBDF2 0.4387 2.22e-01
CN 0.4387 2.21e-01
Hagan 0.4447 2.0694e-01
LMG3 0.4447 2.26e-01
LS 0.4447 2.28e-01
LMG2 0.4447 2.23e-01
RAN 0.4447 2.23e-01
RE 0.4447 2.25e-01
TRBDF2 0.4447 2.28e-01
CN 0.4447 2.26e-01
Hagan 0.4507 2.1238e-01
LMG3 0.4507 2.32e-01
LS 0.4507 2.34e-01
LMG2 0.4507 2.29e-01
RAN 0.4507 2.29e-01
RE 0.4507 2.31e-01
TRBDF2 0.4507 2.34e-01
CN 0.4507 2.32e-01
Hagan 0.4566 2.1791e-01
LMG3 0.4566 2.38e-01
LS 0.4566 2.40e-01
LMG2 0.4566 2.35e-01
RAN 0.4566 2.35e-01
RE 0.4566 2.37e-01
TRBDF2 0.4566 2.40e-01
CN 0.4566 2.38e-01
Hagan 0.4625 2.2354e-01
LMG3 0.4625 2.44e-01
LS 0.4625 2.46e-01
LMG2 0.4625 2.41e-01
RAN 0.4625 2.41e-01
RE 0.4625 2.43e-01
TRBDF2 0.4625 2.46e-01
CN 0.4625 2.44e-01
Hagan 0.4684 2.2928e-01
LMG3 0.4684 2.50e-01
LS 0.4684 2.52e-01
LMG2 0.4684 2.47e-01
RAN 0.4684 2.47e-01
RE 0.4684 2.49e-01
TRBDF2 0.4684 2.52e-01
CN 0.4684 2.50e-01
Hagan 0.4742 2.3511e-01
LMG3 0.4742 2.56e-01
LS 0.4742 2.58e-01
LMG2 0.4742 2.54e-01
RAN 0.4742 2.54e-01
RE 0.4742 2.56e-01
TRBDF2 0.4742 2.58e-01
CN 0.4742 2.56e-01
Hagan 0.4800 2.4106e-01
LMG3 0.4800 2.62e-01
LS 0.4800 2.64e-01
LMG2 0.4800 2.60e-01
RAN 0.4800 2.60e-01
RE 0.4800 2.62e-01
TRBDF2 0.4800 2.64e-01
CN 0.4800 2.63e-01
Hagan 0.4857 2.4711e-01
LMG3 0.4857 2.69e-01
LS 0.4857 2.71e-01
LMG2 0.4857 2.66e-01
RAN 0.4857 2.66e-01
RE 0.4857 2.69e-01
TRBDF2 0.4857 2.71e-01
CN 0.4857 2.69e-01
Hagan 0.4915 2.5326e-01
LMG3 0.4915 2.75e-01
LS 0.4915 2.78e-01
LMG2 0.4915 2.73e-01
RAN 0.4915 2.73e-01
RE 0.4915 2.75e-01
TRBDF2 0.4915 2.78e-01
CN 0.4915 2.76e-01
Hagan 0.4972 2.5953e-01
LMG3 0.4972 2.82e-01
LS 0.4972 2.84e-01
LMG2 0.4972 2.80e-01
RAN 0.4972 2.80e-01
RE 0.4972 2.82e-01
TRBDF2 0.4972 2.84e-01
CN 0.4972 2.82e-01
Hagan 0.5028 2.6592e-01
LMG3 0.5028 2.89e-01
LS 0.5028 2.91e-01
LMG2 0.5028 2.86e-01
RAN 0.5028 2.87e-01
RE 0.5028 2.89e-01
TRBDF2 0.5028 2.91e-01
CN 0.5028 2.89e-01
Hagan 0.5085 2.7242e-01
LMG3 0.5085 2.96e-01
LS 0.5085 2.98e-01
LMG2 0.5085 2.93e-01
RAN 0.5085 2.94e-01
RE 0.5085 2.96e-01
TRBDF2 0.5085 2.98e-01
CN 0.5085 2.96e-01
Hagan 0.5141 2.7903e-01
LMG3 0.5141 3.03e-01
LS 0.5141 3.05e-01
LMG2 0.5141 3.00e-01
RAN 0.5141 3.01e-01
RE 0.5141 3.03e-01
TRBDF2 0.5141 3.05e-01
CN 0.5141 3.04e-01
Hagan 0.5196 2.8577e-01
LMG3 0.5196 3.10e-01
LS 0.5196 3.12e-01
LMG2 0.5196 3.08e-01
RAN 0.5196 3.08e-01
RE 0.5196 3.11e-01
TRBDF2 0.5196 3.13e-01
CN 0.5196 3.11e-01
Hagan 0.5252 2.9262e-01
LMG3 0.5252 3.18e-01
LS 0.5252 3.20e-01
LMG2 0.5252 3.15e-01
RAN 0.5252 3.15e-01
RE 0.5252 3.18e-01
TRBDF2 0.5252 3.20e-01
CN 0.5252 3.18e-01
Hagan 0.5307 2.9960e-01
LMG3 0.5307 3.25e-01
LS 0.5307 3.27e-01
LMG2 0.5307 3.22e-01
RAN 0.5307 3.23e-01
RE 0.5307 3.25e-01
TRBDF2 0.5307 3.27e-01
CN 0.5307 3.26e-01
Hagan 0.5361 3.0670e-01
LMG3 0.5361 3.33e-01
LS 0.5361 3.35e-01
LMG2 0.5361 3.30e-01
RAN 0.5361 3.30e-01
RE 0.5361 3.33e-01
TRBDF2 0.5361 3.35e-01
CN 0.5361 3.34e-01
Hagan 0.5416 3.1393e-01
LMG3 0.5416 3.40e-01
LS 0.5416 3.43e-01
LMG2 0.5416 3.38e-01
RAN 0.5416 3.38e-01
RE 0.5416 3.41e-01
TRBDF2 0.5416 3.43e-01
CN 0.5416 3.42e-01
Hagan 0.5470 3.2128e-01
LMG3 0.5470 3.48e-01
LS 0.5470 3.50e-01
LMG2 0.5470 3.45e-01
RAN 0.5470 3.46e-01
RE 0.5470 3.49e-01
TRBDF2 0.5470 3.50e-01
CN 0.5470 3.50e-01
Hagan 0.5523 3.2877e-01
LMG3 0.5523 3.56e-01
LS 0.5523 3.58e-01
LMG2 0.5523 3.53e-01
RAN 0.5523 3.54e-01
RE 0.5523 3.57e-01
TRBDF2 0.5523 3.58e-01
CN 0.5523 3.58e-01
Hagan 0.5577 3.3638e-01
LMG3 0.5577 3.64e-01
LS 0.5577 3.66e-01
LMG2 0.5577 3.61e-01
RAN 0.5577 3.62e-01
RE 0.5577 3.65e-01
TRBDF2 0.5577 3.66e-01
CN 0.5577 3.66e-01
Hagan 0.5630 3.4412e-01
LMG3 0.5630 3.72e-01
LS 0.5630 3.75e-01
LMG2 0.5630 3.70e-01
RAN 0.5630 3.70e-01
RE 0.5630 3.73e-01
TRBDF2 0.5630 3.75e-01
CN 0.5630 3.75e-01
Hagan 0.5683 3.5200e-01
LMG3 0.5683 3.80e-01
LS 0.5683 3.83e-01
LMG2 0.5683 3.78e-01
RAN 0.5683 3.78e-01
RE 0.5683 3.82e-01
TRBDF2 0.5683 3.83e-01
CN 0.5683 3.84e-01
Hagan 0.5735 3.6001e-01
LMG3 0.5735 3.89e-01
LS 0.5735 3.91e-01
LMG2 0.5735 3.86e-01
RAN 0.5735 3.87e-01
RE 0.5735 3.90e-01
TRBDF2 0.5735 3.91e-01
CN 0.5735 3.92e-01
Hagan 0.5787 3.6815e-01
LMG3 0.5787 3.97e-01
LS 0.5787 4.00e-01
LMG2 0.5787 3.95e-01
RAN 0.5787 3.95e-01
RE 0.5787 3.99e-01
TRBDF2 0.5787 4.00e-01
CN 0.5787 4.02e-01
Hagan 0.5839 3.7643e-01
LMG3 0.5839 4.06e-01
LS 0.5839 4.08e-01
LMG2 0.5839 4.04e-01
RAN 0.5839 4.04e-01
RE 0.5839 4.08e-01
TRBDF2 0.5839 4.09e-01
CN 0.5839 4.11e-01
Hagan 0.5891 3.8485e-01
LMG3 0.5891 4.15e-01
LS 0.5891 4.17e-01
LMG2 0.5891 4.12e-01
RAN 0.5891 4.13e-01
RE 0.5891 4.16e-01
TRBDF2 0.5891 4.17e-01
CN 0.5891 4.20e-01
Hagan 0.5942 3.9341e-01
LMG3 0.5942 4.24e-01
LS 0.5942 4.26e-01
LMG2 0.5942 4.21e-01
RAN 0.5942 4.22e-01
RE 0.5942 4.25e-01
TRBDF2 0.5942 4.26e-01
CN 0.5942 4.30e-01
Hagan 0.5993 4.0210e-01
LMG3 0.5993 4.33e-01
LS 0.5993 4.35e-01
LMG2 0.5993 4.30e-01
RAN 0.5993 4.31e-01
RE 0.5993 4.35e-01
TRBDF2 0.5993 4.35e-01
CN 0.5993 4.40e-01
Hagan 0.6044 4.1094e-01
LMG3 0.6044 4.42e-01
LS 0.6044 4.44e-01
LMG2 0.6044 4.40e-01
RAN 0.6044 4.40e-01
RE 0.6044 4.44e-01
TRBDF2 0.6044 4.44e-01
CN 0.6044 4.50e-01
Hagan 0.6094 4.1991e-01
LMG3 0.6094 4.51e-01
LS 0.6094 4.54e-01
LMG2 0.6094 4.49e-01
RAN 0.6094 4.49e-01
RE 0.6094 4.53e-01
TRBDF2 0.6094 4.54e-01
CN 0.6094 4.60e-01
Hagan 0.6144 4.2903e-01
LMG3 0.6144 4.61e-01
LS 0.6144 4.63e-01
LMG2 0.6144 4.58e-01
RAN 0.6144 4.59e-01
RE 0.6144 4.63e-01
TRBDF2 0.6144 4.63e-01
CN 0.6144 4.70e-01
Hagan 0.6194 4.3828e-01
LMG3 0.6194 4.70e-01
LS 0.6194 4.73e-01
LMG2 0.6194 4.68e-01
RAN 0.6194 4.68e-01
RE 0.6194 4.73e-01
TRBDF2 0.6194 4.73e-01
CN 0.6194 4.81e-01
Hagan 0.6244 4.4768e-01
LMG3 0.6244 4.80e-01
LS 0.6244 4.82e-01
LMG2 0.6244 4.78e-01
RAN 0.6244 4.78e-01
RE 0.6244 4.82e-01
TRBDF2 0.6244 4.82e-01
CN 0.6244 4.91e-01
Hagan 0.6293 4.5722e-01
LMG3 0.6293 4.90e-01
LS 0.6293 4.92e-01
LMG2 0.6293 4.87e-01
RAN 0.6293 4.88e-01
RE 0.6293 4.92e-01
TRBDF2 0.6293 4.92e-01
CN 0.6293 5.02e-01
Hagan 0.6342 4.6690e-01
LMG3 0.6342 5.00e-01
LS 0.6342 5.02e-01
LMG2 0.6342 4.97e-01
RAN 0.6342 4.98e-01
