Scheme Strike Density
Hagan 0.0009 -1.1660e+02
LMG3 0.0009 2.15e-03
LS 0.0009 2.17e-03
LMG2 0.0009 2.11e-03
RAN 0.0009 2.10e-03
RE 0.0009 2.11e-03
TRBDF2 0.0009 2.18e-03
CN 0.0009 2.23e-03
Hagan 0.0040 3.6449e+00
LMG3 0.0040 5.14e-03
LS 0.0040 5.21e-03
LMG2 0.0040 5.05e-03
RAN 0.0040 5.02e-03
RE 0.0040 5.05e-03
TRBDF2 0.0040 5.21e-03
CN 0.0040 5.33e-03
Hagan 0.0078 1.5915e-01
LMG3 0.0078 7.59e-03
LS 0.0078 7.69e-03
LMG2 0.0078 7.46e-03
RAN 0.0078 7.41e-03
RE 0.0078 7.46e-03
TRBDF2 0.0078 7.69e-03
CN 0.0078 7.87e-03
Hagan 0.0121 -2.7568e-01
LMG3 0.0121 9.79e-03
LS 0.0121 9.92e-03
LMG2 0.0121 9.63e-03
RAN 0.0121 9.57e-03
RE 0.0121 9.62e-03
TRBDF2 0.0121 9.92e-03
CN 0.0121 1.02e-02
Hagan 0.0168 -3.3687e-01
LMG3 0.0168 1.19e-02
LS 0.0168 1.20e-02
LMG2 0.0168 1.17e-02
RAN 0.0168 1.16e-02
RE 0.0168 1.17e-02
TRBDF2 0.0168 1.20e-02
CN 0.0168 1.23e-02
Hagan 0.0218 -3.2314e-01
LMG3 0.0218 1.39e-02
LS 0.0218 1.40e-02
LMG2 0.0218 1.36e-02
RAN 0.0218 1.35e-02
RE 0.0218 1.36e-02
TRBDF2 0.0218 1.40e-02
CN 0.0218 1.44e-02
Hagan 0.0271 -2.9214e-01
LMG3 0.0271 1.58e-02
LS 0.0271 1.60e-02
LMG2 0.0271 1.55e-02
RAN 0.0271 1.54e-02
RE 0.0271 1.55e-02
TRBDF2 0.0271 1.60e-02
CN 0.0271 1.64e-02
Hagan 0.0326 -2.5875e-01
LMG3 0.0326 1.77e-02
LS 0.0326 1.79e-02
LMG2 0.0326 1.74e-02
RAN 0.0326 1.73e-02
RE 0.0326 1.74e-02
TRBDF2 0.0326 1.80e-02
CN 0.0326 1.84e-02
Hagan 0.0383 -2.2726e-01
LMG3 0.0383 1.96e-02
LS 0.0383 1.99e-02
LMG2 0.0383 1.93e-02
RAN 0.0383 1.92e-02
RE 0.0383 1.93e-02
TRBDF2 0.0383 1.99e-02
CN 0.0383 2.03e-02
Hagan 0.0441 -1.9883e-01
LMG3 0.0441 2.15e-02
LS 0.0441 2.18e-02
LMG2 0.0441 2.11e-02
RAN 0.0441 2.10e-02
RE 0.0441 2.11e-02
TRBDF2 0.0441 2.18e-02
CN 0.0441 2.23e-02
Hagan 0.0501 -1.7353e-01
LMG3 0.0501 2.34e-02
LS 0.0501 2.37e-02
LMG2 0.0501 2.30e-02
RAN 0.0501 2.29e-02
RE 0.0501 2.30e-02
TRBDF2 0.0501 2.37e-02
CN 0.0501 2.42e-02
Hagan 0.0562 -1.5113e-01
LMG3 0.0562 2.53e-02
LS 0.0562 2.56e-02
LMG2 0.0562 2.49e-02
RAN 0.0562 2.47e-02
RE 0.0562 2.49e-02
TRBDF2 0.0562 2.56e-02
CN 0.0562 2.62e-02
Hagan 0.0624 -1.3128e-01
LMG3 0.0624 2.72e-02
LS 0.0624 2.76e-02
LMG2 0.0624 2.67e-02
RAN 0.0624 2.66e-02
RE 0.0624 2.67e-02
TRBDF2 0.0624 2.76e-02
CN 0.0624 2.82e-02
Hagan 0.0687 -1.1364e-01
LMG3 0.0687 2.91e-02
LS 0.0687 2.95e-02
LMG2 0.0687 2.86e-02
RAN 0.0687 2.85e-02
RE 0.0687 2.86e-02
TRBDF2 0.0687 2.95e-02
CN 0.0687 3.02e-02
Hagan 0.0751 -9.7898e-02
LMG3 0.0751 3.11e-02
LS 0.0751 3.15e-02
LMG2 0.0751 3.06e-02
RAN 0.0751 3.04e-02
RE 0.0751 3.06e-02
TRBDF2 0.0751 3.15e-02
CN 0.0751 3.22e-02
Hagan 0.0815 -8.3783e-02
LMG3 0.0815 3.30e-02
LS 0.0815 3.35e-02
LMG2 0.0815 3.25e-02
RAN 0.0815 3.23e-02
RE 0.0815 3.25e-02
TRBDF2 0.0815 3.35e-02
CN 0.0815 3.42e-02
Hagan 0.0881 -7.1064e-02
LMG3 0.0881 3.50e-02
LS 0.0881 3.55e-02
LMG2 0.0881 3.44e-02
RAN 0.0881 3.43e-02
RE 0.0881 3.45e-02
TRBDF2 0.0881 3.55e-02
CN 0.0881 3.62e-02
Hagan 0.0947 -5.9543e-02
LMG3 0.0947 3.70e-02
LS 0.0947 3.75e-02
LMG2 0.0947 3.64e-02
RAN 0.0947 3.62e-02
RE 0.0947 3.65e-02
TRBDF2 0.0947 3.75e-02
CN 0.0947 3.83e-02
Hagan 0.1013 -4.9052e-02
LMG3 0.1013 3.91e-02
LS 0.1013 3.96e-02
LMG2 0.1013 3.85e-02
RAN 0.1013 3.82e-02
RE 0.1013 3.85e-02
TRBDF2 0.1013 3.96e-02
CN 0.1013 4.04e-02
Hagan 0.1080 -3.9452e-02
LMG3 0.1080 4.12e-02
LS 0.1080 4.17e-02
LMG2 0.1080 4.05e-02
RAN 0.1080 4.03e-02
RE 0.1080 4.05e-02
TRBDF2 0.1080 4.17e-02
CN 0.1080 4.26e-02
Hagan 0.1148 -3.0622e-02
LMG3 0.1148 4.33e-02
LS 0.1148 4.38e-02
LMG2 0.1148 4.26e-02
RAN 0.1148 4.24e-02
RE 0.1148 4.26e-02
TRBDF2 0.1148 4.38e-02
CN 0.1148 4.47e-02
Hagan 0.1215 -2.2458e-02
LMG3 0.1215 4.54e-02
LS 0.1215 4.60e-02
LMG2 0.1215 4.47e-02
RAN 0.1215 4.45e-02
RE 0.1215 4.47e-02
TRBDF2 0.1215 4.60e-02
CN 0.1215 4.69e-02
Hagan 0.1283 -1.4876e-02
LMG3 0.1283 4.76e-02
LS 0.1283 4.82e-02
LMG2 0.1283 4.69e-02
RAN 0.1283 4.66e-02
RE 0.1283 4.69e-02
TRBDF2 0.1283 4.82e-02
CN 0.1283 4.92e-02
Hagan 0.1351 -7.7980e-03
LMG3 0.1351 4.99e-02
LS 0.1351 5.05e-02
LMG2 0.1351 4.91e-02
RAN 0.1351 4.88e-02
RE 0.1351 4.91e-02
TRBDF2 0.1351 5.05e-02
CN 0.1351 5.15e-02
Hagan 0.1420 -1.1614e-03
LMG3 0.1420 5.21e-02
LS 0.1420 5.28e-02
LMG2 0.1420 5.13e-02
RAN 0.1420 5.10e-02
RE 0.1420 5.14e-02
TRBDF2 0.1420 5.28e-02
CN 0.1420 5.38e-02
Hagan 0.1489 5.0900e-03
LMG3 0.1489 5.44e-02
LS 0.1489 5.51e-02
LMG2 0.1489 5.36e-02
RAN 0.1489 5.33e-02
RE 0.1489 5.36e-02
TRBDF2 0.1489 5.51e-02
CN 0.1489 5.61e-02
Hagan 0.1557 1.1004e-02
LMG3 0.1557 5.68e-02
LS 0.1557 5.75e-02
LMG2 0.1557 5.59e-02
RAN 0.1557 5.56e-02
RE 0.1557 5.60e-02
TRBDF2 0.1557 5.75e-02
CN 0.1557 5.85e-02
Hagan 0.1626 1.6624e-02
LMG3 0.1626 5.92e-02
LS 0.1626 5.99e-02
LMG2 0.1626 5.83e-02
RAN 0.1626 5.80e-02
RE 0.1626 5.83e-02
TRBDF2 0.1626 5.99e-02
CN 0.1626 6.10e-02
Hagan 0.1695 2.1986e-02
LMG3 0.1695 6.16e-02
LS 0.1695 6.24e-02
LMG2 0.1695 6.07e-02
RAN 0.1695 6.04e-02
RE 0.1695 6.08e-02
TRBDF2 0.1695 6.24e-02
CN 0.1695 6.35e-02
Hagan 0.1764 2.7122e-02
LMG3 0.1764 6.41e-02
LS 0.1764 6.49e-02
LMG2 0.1764 6.31e-02
RAN 0.1764 6.29e-02
RE 0.1764 6.32e-02
TRBDF2 0.1764 6.49e-02
CN 0.1764 6.60e-02
Hagan 0.1833 3.2060e-02
LMG3 0.1833 6.67e-02
LS 0.1833 6.75e-02
LMG2 0.1833 6.56e-02
RAN 0.1833 6.54e-02
RE 0.1833 6.58e-02
TRBDF2 0.1833 6.75e-02
CN 0.1833 6.86e-02
Hagan 0.1902 3.6827e-02
LMG3 0.1902 6.93e-02
LS 0.1902 7.01e-02
LMG2 0.1902 6.82e-02
RAN 0.1902 6.79e-02
RE 0.1902 6.84e-02
TRBDF2 0.1902 7.01e-02
CN 0.1902 7.12e-02
Hagan 0.1971 4.1444e-02
LMG3 0.1971 7.19e-02
LS 0.1971 7.28e-02
LMG2 0.1971 7.08e-02
RAN 0.1971 7.05e-02
RE 0.1971 7.10e-02
TRBDF2 0.1971 7.28e-02
CN 0.1971 7.39e-02
Hagan 0.2040 4.5931e-02
LMG3 0.2040 7.46e-02
LS 0.2040 7.55e-02
LMG2 0.2040 7.35e-02
RAN 0.2040 7.32e-02
RE 0.2040 7.37e-02
TRBDF2 0.2040 7.55e-02
CN 0.2040 7.66e-02
Hagan 0.2109 5.0307e-02
LMG3 0.2109 7.74e-02
LS 0.2109 7.83e-02
LMG2 0.2109 7.62e-02
RAN 0.2109 7.59e-02
RE 0.2109 7.64e-02
TRBDF2 0.2109 7.83e-02
CN 0.2109 7.94e-02
Hagan 0.2178 5.4586e-02
LMG3 0.2178 8.02e-02
LS 0.2178 8.12e-02
LMG2 0.2178 7.90e-02
RAN 0.2178 7.87e-02
RE 0.2178 7.92e-02
TRBDF2 0.2178 8.12e-02
CN 0.2178 8.23e-02
Hagan 0.2247 5.8784e-02
LMG3 0.2247 8.31e-02
LS 0.2247 8.41e-02
LMG2 0.2247 8.18e-02
RAN 0.2247 8.16e-02
RE 0.2247 8.21e-02
TRBDF2 0.2247 8.41e-02
CN 0.2247 8.52e-02
Hagan 0.2315 6.2914e-02
LMG3 0.2315 8.60e-02
LS 0.2315 8.70e-02
LMG2 0.2315 8.47e-02
RAN 0.2315 8.45e-02
RE 0.2315 8.50e-02
TRBDF2 0.2315 8.70e-02
CN 0.2315 8.81e-02
Hagan 0.2384 6.6987e-02
LMG3 0.2384 8.90e-02
LS 0.2384 9.01e-02
LMG2 0.2384 8.77e-02
RAN 0.2384 8.74e-02
RE 0.2384 8.80e-02
TRBDF2 0.2384 9.01e-02
CN 0.2384 9.11e-02
Hagan 0.2452 7.1014e-02
LMG3 0.2452 9.21e-02
LS 0.2452 9.31e-02
LMG2 0.2452 9.07e-02
RAN 0.2452 9.04e-02
RE 0.2452 9.10e-02
TRBDF2 0.2452 9.32e-02
CN 0.2452 9.42e-02
Hagan 0.2520 7.5005e-02
LMG3 0.2520 9.52e-02
LS 0.2520 9.63e-02
LMG2 0.2520 9.38e-02
RAN 0.2520 9.35e-02
RE 0.2520 9.41e-02
TRBDF2 0.2520 9.63e-02
CN 0.2520 9.73e-02
Hagan 0.2588 7.8968e-02
LMG3 0.2588 9.84e-02
LS 0.2588 9.95e-02
LMG2 0.2588 9.70e-02
RAN 0.2588 9.67e-02
RE 0.2588 9.73e-02
TRBDF2 0.2588 9.95e-02
CN 0.2588 1.01e-01
Hagan 0.2656 8.2913e-02
LMG3 0.2656 1.02e-01
LS 0.2656 1.03e-01
LMG2 0.2656 1.00e-01
RAN 0.2656 9.99e-02
RE 0.2656 1.01e-01
TRBDF2 0.2656 1.03e-01
CN 0.2656 1.04e-01
Hagan 0.2723 8.6847e-02
LMG3 0.2723 1.05e-01
LS 0.2723 1.06e-01
LMG2 0.2723 1.03e-01
RAN 0.2723 1.03e-01
RE 0.2723 1.04e-01
TRBDF2 0.2723 1.06e-01
CN 0.2723 1.07e-01
Hagan 0.2791 9.0776e-02
LMG3 0.2791 1.08e-01
LS 0.2791 1.10e-01
LMG2 0.2791 1.07e-01
RAN 0.2791 1.07e-01
RE 0.2791 1.07e-01
TRBDF2 0.2791 1.10e-01
CN 0.2791 1.10e-01
Hagan 0.2858 9.4708e-02
LMG3 0.2858 1.12e-01
LS 0.2858 1.13e-01
LMG2 0.2858 1.10e-01
RAN 0.2858 1.10e-01
RE 0.2858 1.11e-01
TRBDF2 0.2858 1.13e-01
CN 0.2858 1.14e-01
Hagan 0.2925 9.8648e-02
LMG3 0.2925 1.15e-01
LS 0.2925 1.17e-01
LMG2 0.2925 1.14e-01
RAN 0.2925 1.14e-01
RE 0.2925 1.14e-01
TRBDF2 0.2925 1.17e-01
CN 0.2925 1.17e-01
Hagan 0.2992 1.0260e-01
LMG3 0.2992 1.19e-01
LS 0.2992 1.20e-01
LMG2 0.2992 1.17e-01
RAN 0.2992 1.17e-01
RE 0.2992 1.18e-01
TRBDF2 0.2992 1.20e-01
CN 0.2992 1.21e-01
Hagan 0.3058 1.0658e-01
LMG3 0.3058 1.23e-01
LS 0.3058 1.24e-01
LMG2 0.3058 1.21e-01
RAN 0.3058 1.21e-01
RE 0.3058 1.22e-01
TRBDF2 0.3058 1.24e-01
CN 0.3058 1.25e-01
Hagan 0.3124 1.1057e-01
LMG3 0.3124 1.26e-01
LS 0.3124 1.28e-01
LMG2 0.3124 1.25e-01
RAN 0.3124 1.24e-01
RE 0.3124 1.25e-01
TRBDF2 0.3124 1.28e-01
CN 0.3124 1.28e-01
Hagan 0.3190 1.1460e-01
LMG3 0.3190 1.30e-01
LS 0.3190 1.32e-01
LMG2 0.3190 1.29e-01
RAN 0.3190 1.28e-01
RE 0.3190 1.29e-01
TRBDF2 0.3190 1.32e-01
CN 0.3190 1.32e-01
Hagan 0.3256 1.1866e-01
LMG3 0.3256 1.34e-01
LS 0.3256 1.36e-01
LMG2 0.3256 1.32e-01
RAN 0.3256 1.32e-01
RE 0.3256 1.33e-01
TRBDF2 0.3256 1.36e-01
CN 0.3256 1.36e-01
Hagan 0.3321 1.2276e-01
LMG3 0.3321 1.38e-01
LS 0.3321 1.40e-01
LMG2 0.3321 1.36e-01
RAN 0.3321 1.36e-01
RE 0.3321 1.37e-01
TRBDF2 0.3321 1.40e-01
CN 0.3321 1.40e-01
Hagan 0.3386 1.2690e-01
LMG3 0.3386 1.42e-01
LS 0.3386 1.44e-01
LMG2 0.3386 1.40e-01
RAN 0.3386 1.40e-01
RE 0.3386 1.41e-01
TRBDF2 0.3386 1.44e-01
CN 0.3386 1.44e-01
Hagan 0.3451 1.3109e-01
LMG3 0.3451 1.46e-01
LS 0.3451 1.48e-01
LMG2 0.3451 1.45e-01
RAN 0.3451 1.44e-01
RE 0.3451 1.45e-01
TRBDF2 0.3451 1.48e-01
CN 0.3451 1.48e-01
Hagan 0.3516 1.3533e-01
LMG3 0.3516 1.51e-01
LS 0.3516 1.52e-01
LMG2 0.3516 1.49e-01
RAN 0.3516 1.49e-01
RE 0.3516 1.50e-01
TRBDF2 0.3516 1.52e-01
CN 0.3516 1.52e-01
Hagan 0.3580 1.3961e-01
LMG3 0.3580 1.55e-01
LS 0.3580 1.57e-01
LMG2 0.3580 1.53e-01
RAN 0.3580 1.53e-01
RE 0.3580 1.54e-01
TRBDF2 0.3580 1.57e-01
CN 0.3580 1.57e-01
Hagan 0.3644 1.4396e-01
LMG3 0.3644 1.60e-01
LS 0.3644 1.61e-01
LMG2 0.3644 1.58e-01
RAN 0.3644 1.57e-01
RE 0.3644 1.59e-01
TRBDF2 0.3644 1.61e-01
CN 0.3644 1.61e-01
Hagan 0.3708 1.4837e-01
LMG3 0.3708 1.64e-01
LS 0.3708 1.66e-01
LMG2 0.3708 1.62e-01
RAN 0.3708 1.62e-01
RE 0.3708 1.63e-01
TRBDF2 0.3708 1.66e-01
CN 0.3708 1.66e-01
Hagan 0.3771 1.5283e-01
LMG3 0.3771 1.69e-01
LS 0.3771 1.70e-01
LMG2 0.3771 1.67e-01
RAN 0.3771 1.66e-01
RE 0.3771 1.68e-01
TRBDF2 0.3771 1.70e-01
CN 0.3771 1.70e-01
Hagan 0.3834 1.5737e-01
LMG3 0.3834 1.73e-01
LS 0.3834 1.75e-01
LMG2 0.3834 1.71e-01
RAN 0.3834 1.71e-01
RE 0.3834 1.72e-01
TRBDF2 0.3834 1.75e-01
CN 0.3834 1.75e-01
Hagan 0.3897 1.6197e-01
LMG3 0.3897 1.78e-01
LS 0.3897 1.80e-01
LMG2 0.3897 1.76e-01
RAN 0.3897 1.76e-01
RE 0.3897 1.77e-01
TRBDF2 0.3897 1.80e-01
CN 0.3897 1.79e-01
Hagan 0.3959 1.6664e-01
LMG3 0.3959 1.83e-01
LS 0.3959 1.85e-01
LMG2 0.3959 1.81e-01
RAN 0.3959 1.81e-01
RE 0.3959 1.82e-01
TRBDF2 0.3959 1.85e-01
CN 0.3959 1.84e-01
