SpaceSteps TimeSteps Scheme Price PriceError Vol  Error Time
250 2 CN 7.4458e-03 5.3e-04 0.24185 1.8e-02  1.5e-04
250 2 RAN 7.9337e-03 4.5e-05 0.25858 1.6e-03  1.6e-04
250 2 LMG2 7.9685e-03 1.1e-05 0.25978 3.7e-04  1.8e-04
250 2 LMG3 7.9903e-03 1.1e-05 0.26053 3.9e-04  2.2e-04
250 2 TRBDF2 7.7847e-03 1.9e-04 0.25345 6.7e-03  1.6e-04
250 2 RE 8.6264e-03 6.5e-04 0.28265 2.3e-02  2.4e-04
250 5 CN 8.1830e-03 2.0e-04 0.26719 7.1e-03  1.8e-04
250 5 RAN 7.9815e-03 2.4e-06 0.26023 8.2e-05  2.1e-04
250 5 LMG2 7.9752e-03 4.0e-06 0.26001 1.4e-04  2.8e-04
250 5 LMG3 7.9811e-03 2.0e-06 0.26021 6.9e-05  3.8e-04
250 5 TRBDF2 7.9547e-03 2.4e-05 0.25930 8.4e-04  2.2e-04
250 5 RE 8.0692e-03 9.0e-05 0.26326 3.1e-03  3.6e-04
250 10 CN 7.8978e-03 8.1e-05 0.25734 2.8e-03  2.6e-04
250 10 RAN 7.9798e-03 7.2e-07 0.26017 2.5e-05  3.1e-04
250 10 LMG2 7.9777e-03 1.4e-06 0.26009 4.9e-05  4.5e-04
250 10 LMG3 7.9797e-03 5.5e-07 0.26016 1.9e-05  6.5e-04
250 10 TRBDF2 7.9714e-03 7.7e-06 0.25988 2.7e-04  3.2e-04
250 10 RE 7.9966e-03 1.7e-05 0.26075 6.0e-04  5.8e-04
250 20 CN 7.9565e-03 2.3e-05 0.25936 7.8e-04  4.3e-04
250 20 RAN 7.9793e-03 1.7e-07 0.26015 5.7e-06  4.4e-04
250 20 LMG2 7.9786e-03 4.8e-07 0.26013 1.6e-05  7.9e-04
250 20 LMG3 7.9792e-03 1.2e-07 0.26015 4.0e-06  1.3e-03
250 20 TRBDF2 7.9764e-03 2.7e-06 0.26005 9.4e-05  5.4e-04
250 20 RE 7.9825e-03 3.3e-06 0.26026 1.2e-04  9.8e-04
250 40 CN 7.9774e-03 1.7e-06 0.26008 6.0e-05  7.1e-04
250 40 RAN 7.9791e-03 2.1e-09 0.26014 7.3e-08  7.7e-04
250 40 LMG2 7.9789e-03 1.7e-07 0.26014 6.0e-06  1.5e-03
250 40 LMG3 7.9791e-03 9.3e-09 0.26014 3.2e-07  2.3e-03
250 40 TRBDF2 7.9780e-03 1.1e-06 0.26011 3.8e-05  9.6e-04
250 40 RE 7.9798e-03 6.5e-07 0.26017 2.2e-05  1.8e-03
250 80 CN 7.9791e-03 5.1e-08 0.26014 1.8e-06  1.2e-03
250 80 RAN 7.9791e-03 4.2e-08 0.26014 1.4e-06  1.2e-03
250 80 LMG2 7.9790e-03 8.8e-08 0.26014 3.0e-06  3.3e-03
250 80 LMG3 7.9791e-03 4.4e-08 0.26014 1.5e-06  9.6e-03
250 80 TRBDF2 7.9786e-03 5.1e-07 0.26013 1.8e-05  1.6e-03
250 80 RE 7.9792e-03 1.0e-07 0.26015 3.4e-06  3.2e-03
250 160 CN 7.9791e-03 5.5e-08 0.26014 1.9e-06  2.3e-03
250 160 RAN 7.9791e-03 5.3e-08 0.26014 1.8e-06  2.3e-03
250 160 LMG2 7.9791e-03 6.5e-08 0.26014 2.2e-06  5.4e-03
250 160 LMG3 7.9791e-03 5.4e-08 0.26014 1.9e-06  9.0e-03
250 160 TRBDF2 7.9789e-03 2.7e-07 0.26013 9.2e-06  3.3e-03
250 160 RE 7.9791e-03 2.0e-08 0.26014 6.9e-07  6.1e-03
250 320 CN 7.9791e-03 5.6e-08 0.26014 1.9e-06  4.5e-03
250 320 RAN 7.9791e-03 5.6e-08 0.26014 1.9e-06  4.5e-03
250 320 LMG2 7.9791e-03 5.9e-08 0.26014 2.0e-06  1.0e-02
250 320 LMG3 7.9791e-03 5.6e-08 0.26014 1.9e-06  1.6e-02
250 320 TRBDF2 7.9790e-03 1.6e-07 0.26014 5.4e-06  6.2e-03
250 320 RE 7.9791e-03 4.8e-08 0.26014 1.7e-06  1.2e-02
250 640 CN 7.9791e-03 5.7e-08 0.26014 2.0e-06  8.9e-03
250 640 RAN 7.9791e-03 5.7e-08 0.26014 2.0e-06  8.9e-03
250 640 LMG2 7.9791e-03 5.7e-08 0.26014 2.0e-06  2.0e-02
250 640 LMG3 7.9791e-03 5.7e-08 0.26014 2.0e-06  3.2e-02
250 640 TRBDF2 7.9790e-03 1.1e-07 0.26014 3.7e-06  1.2e-02
250 640 RE 7.9791e-03 5.5e-08 0.26014 1.9e-06  2.4e-02
250 1280 CN 7.9791e-03 5.7e-08 0.26014 2.0e-06  1.8e-02
250 1280 RAN 7.9791e-03 5.7e-08 0.26014 2.0e-06  2.0e-02
250 1280 LMG2 7.9791e-03 5.7e-08 0.26014 2.0e-06  4.0e-02
250 1280 LMG3 7.9791e-03 5.7e-08 0.26014 2.0e-06  6.3e-02
250 1280 TRBDF2 7.9790e-03 8.1e-08 0.26014 2.8e-06  2.4e-02
250 1280 RE 7.9791e-03 5.6e-08 0.26014 1.9e-06  4.9e-02
