Strike Hagan NormalHagan HaganDensity HaganUniformLV HaganLVHarmonic HaganLVBessel HaganLVCubic HaganLVHyman
0.0025 0.676 0.845 0.5589 0.5408 0.5412 0.5411 0.5411 0.5411
0.0050 0.559 0.626 0.4758 0.4595 0.4597 0.4597 0.4597 0.4597
0.0075 0.487 0.523 0.4240 0.4095 0.4097 0.4097 0.4097 0.4097
0.0100 0.434 0.455 0.3857 0.3736 0.3737 0.3737 0.3737 0.3737
0.0125 0.393 0.406 0.3551 0.3461 0.3461 0.3461 0.3461 0.3461
0.0150 0.359 0.367 0.3296 0.3244 0.3244 0.3244 0.3244 0.3244
0.0175 0.330 0.335 0.3077 0.3073 0.3072 0.3072 0.3072 0.3072
0.0200 0.306 0.309 0.2888 0.2937 0.2936 0.2936 0.2936 0.2936
0.0225 0.286 0.287 0.2727 0.2825 0.2824 0.2824 0.2825 0.2825
0.0250 0.269 NaN 0.2596 0.2713 0.2711 0.2711 0.2712 0.2712
0.0275 0.256 0.255 0.2499 0.2580 0.2579 0.2580 0.2580 0.2580
0.0300 0.245 0.245 0.2428 0.2454 0.2454 0.2454 0.2454 0.2454
0.0325 0.238 0.237 0.2376 0.2355 0.2356 0.2357 0.2356 0.2356
0.0350 0.233 0.233 0.2340 0.2286 0.2289 0.2289 0.2289 0.2289
0.0375 0.231 0.230 0.2318 0.2243 0.2248 0.2248 0.2248 0.2248
0.0400 0.230 0.230 0.2307 0.2218 0.2227 0.2227 0.2227 0.2227
0.0425 0.231 0.230 0.2304 0.2208 0.2221 0.2220 0.2221 0.2221
0.0450 0.232 0.232 0.2310 0.2206 0.2225 0.2225 0.2225 0.2225
0.0475 0.234 0.234 0.2320 0.2211 0.2237 0.2237 0.2237 0.2237
0.0500 0.237 0.237 0.2334 0.2219 0.2254 0.2254 0.2254 0.2254
0.0525 0.239 0.240 0.2351 0.2229 0.2274 0.2274 0.2274 0.2274
0.0550 0.242 0.243 0.2370 0.2239 0.2297 0.2296 0.2297 0.2297
0.0575 0.245 0.246 0.2391 0.2250 0.2321 0.2320 0.2320 0.2320
0.0600 0.248 0.250 0.2412 0.2258 0.2345 0.2346 0.2345 0.2345
0.0625 0.251 0.253 0.2434 0.2266 0.2371 0.2370 0.2370 0.2370
0.0650 0.254 0.256 0.2456 0.2271 0.2396 0.2396 0.2396 0.2396
0.0675 0.257 0.259 0.2478 0.2274 0.2421 0.2422 0.2421 0.2421
0.0700 0.260 0.263 0.2500 0.2273 0.2447 0.2446 0.2446 0.2446
