Strike Hagan NormalHagan HaganDensity HaganUniformLV HaganLVHarmonic HaganLVBessel HaganLVCubic HaganLVHyman
0.0725 0.263 0.266 0.2522 0.2270 0.2471 0.2471 0.2471 0.2471
0.0750 0.265 0.269 0.2544 0.2263 0.2496 0.2496 0.2496 0.2496
0.0775 0.268 0.272 0.2565 0.2252 0.2520 0.2520 0.2520 0.2520
0.0800 0.271 0.275 0.2586 0.2236 0.2544 0.2543 0.2544 0.2544
0.0825 0.273 0.278 0.2607 0.2214 0.2567 0.2566 0.2567 0.2567
0.0850 0.276 0.281 0.2627 0.2185 0.2590 0.2589 0.2590 0.2590
0.0875 0.278 0.284 0.2647 0.2148 0.2612 0.2612 0.2612 0.2612
0.0900 0.281 0.287 0.2667 0.2100 0.2634 0.2634 0.2634 0.2634
0.0925 0.283 0.289 0.2686 0.2037 0.2655 0.2655 0.2655 0.2655
0.0950 0.286 0.292 0.2705 0.1947 0.2676 0.2675 0.2676 0.2676
0.0975 0.288 0.295 0.2723 0.1803 0.2697 0.2696 0.2696 0.2696
0.1000 0.290 0.297 0.2741 0.0643 0.2716 0.2716 0.2716 0.2716
0.1025 0.292 0.300 0.2759 NaN 0.2736 0.2736 0.2736 0.2736
0.1050 0.294 0.302 0.2777 NaN 0.2755 0.2755 0.2755 0.2755
0.1075 0.296 0.305 0.2794 NaN 0.2774 0.2774 0.2774 0.2774
0.1100 0.298 0.307 0.2810 NaN 0.2792 0.2792 0.2792 0.2792
0.1125 0.300 0.309 0.2827 NaN 0.2810 0.2810 0.2810 0.2810
0.1150 0.302 0.311 0.2842 NaN 0.2828 0.2827 0.2828 0.2828
0.1175 0.304 0.314 0.2858 NaN 0.2845 0.2845 0.2845 0.2845
0.1200 0.306 0.316 0.2873 NaN 0.2862 0.2862 0.2862 0.2862
0.1225 0.308 0.318 0.2889 NaN 0.2878 0.2879 0.2878 0.2878
0.1250 0.309 0.320 0.2904 NaN 0.2895 0.2895 0.2895 0.2895
0.1275 0.311 0.322 0.2919 NaN 0.2911 0.2911 0.2911 0.2911
0.1300 0.313 0.324 0.2933 NaN 0.2926 0.2926 0.2926 0.2926
0.1325 0.314 0.326 0.2947 NaN 0.2942 0.2941 0.2942 0.2942
0.1350 0.316 0.328 0.2961 NaN 0.2957 0.2956 0.2957 0.2957
0.1375 0.318 0.330 0.2974 NaN 0.2972 0.2971 0.2971 0.2971
0.1400 0.319 0.332 0.2987 NaN 0.2986 0.2985 0.2986 0.2986
0.1425 0.321 0.334 0.3000 NaN 0.3000 0.3000 0.3000 0.3000
0.1450 0.322 0.336 0.3013 NaN 0.3014 0.3014 0.3014 0.3014
0.1475 0.324 0.337 0.3025 NaN 0.3028 0.3028 0.3028 0.3028
0.1500 0.325 0.339 0.3038 NaN 0.3041 0.3042 0.3041 0.3041
0.1525 0.327 0.341 0.3050 NaN 0.3055 0.3055 0.3055 0.3055
0.1550 0.328 0.343 0.3063 NaN 0.3068 0.3068 0.3068 0.3068
0.1575 0.329 0.344 0.3075 NaN 0.3081 0.3081 0.3081 0.3081
0.1600 0.331 0.346 0.3086 NaN 0.3093 0.3093 0.3093 0.3093
0.1625 0.332 0.348 0.3098 NaN 0.3106 0.3106 0.3106 0.3106
0.1650 0.333 0.349 0.3109 NaN 0.3118 0.3118 0.3118 0.3118
0.1675 0.335 0.351 0.3120 NaN 0.3130 0.3130 0.3130 0.3130
0.1700 0.336 0.352 0.3131 NaN 0.3142 0.3141 0.3142 0.3142
0.1725 0.337 0.354 0.3142 NaN 0.3154 0.3153 0.3154 0.3154
0.1750 0.338 0.355 0.3152 NaN 0.3165 0.3165 0.3165 0.3165
0.1775 0.339 0.357 0.3163 NaN 0.3177 0.3176 0.3177 0.3177
0.1800 0.341 0.358 0.3173 NaN 0.3188 0.3187 0.3188 0.3188
0.1825 0.342 0.360 0.3183 NaN 0.3199 0.3199 0.3199 0.3199
0.1850 0.343 0.361 0.3193 NaN 0.3210 0.3210 0.3210 0.3210
0.1875 0.344 0.363 0.3203 NaN 0.3220 0.3221 0.3220 0.3220
0.1900 0.345 0.364 0.3213 NaN 0.3231 0.3231 0.3231 0.3231
0.1925 0.346 0.366 0.3223 NaN 0.3241 0.3242 0.3241 0.3241
0.1950 0.347 0.367 0.3232 NaN 0.3252 0.3252 0.3252 0.3252
0.1975 0.348 0.368 0.3242 NaN 0.3262 0.3262 0.3262 0.3262
0.2000 0.349 0.370 0.3251 NaN 0.3272 0.3272 0.3272 0.3272
0.2025 0.351 0.371 0.3261 NaN 0.3282 0.3282 0.3282 0.3282
0.2050 0.352 0.372 0.3270 NaN 0.3292 0.3291 0.3292 0.3292
0.2075 0.353 0.374 0.3278 NaN 0.3301 0.3301 0.3301 0.3301
0.2100 0.354 0.375 0.3287 NaN 0.3311 0.3310 0.3311 0.3311
0.2125 0.354 0.376 0.3296 NaN 0.3320 0.3319 0.3320 0.3320
0.2150 0.355 0.377 0.3304 NaN 0.3330 0.3329 0.3329 0.3329
0.2175 0.356 0.379 0.3313 NaN 0.3339 0.3338 0.3339 0.3339
0.2200 0.357 0.380 0.3321 NaN 0.3348 0.3347 0.3348 0.3348
0.2225 0.358 0.381 0.3329 NaN 0.3357 0.3356 0.3356 0.3356
0.2250 0.359 0.382 0.3337 NaN 0.3365 0.3365 0.3365 0.3365
0.2275 0.360 0.383 0.3345 NaN 0.3374 0.3374 0.3374 0.3374
0.2300 0.361 0.384 0.3353 NaN 0.3383 0.3382 0.3383 0.3383
0.2325 0.362 0.386 0.3361 NaN 0.3391 0.3391 0.3391 0.3391
0.2350 0.363 0.387 0.3369 NaN 0.3400 0.3400 0.3400 0.3400
0.2375 0.364 0.388 0.3377 NaN 0.3408 0.3408 0.3408 0.3408
0.2400 0.364 0.389 0.3384 NaN 0.3416 0.3416 0.3416 0.3416
0.2425 0.365 0.390 0.3392 NaN 0.3424 0.3425 0.3424 0.3424
0.2450 0.366 0.391 0.3400 NaN 0.3432 0.3433 0.3433 0.3433
0.2475 0.367 0.392 0.3407 NaN 0.3440 0.3441 0.3441 0.3441
0.2500 0.368 0.393 0.3415 NaN 0.3448 0.3449 0.3448 0.3448
