Strike Hagan NormalHagan HaganDensity HaganUniformLV HaganLVHarmonic HaganLVBessel HaganLVCubic HaganLVHyman
0.1850 0.343 0.361 0.3200 NaN 0.3181 0.3181 0.3181 0.3181
0.1875 0.344 0.363 0.3209 NaN 0.3190 0.3191 0.3190 0.3190
0.1900 0.345 0.364 0.3219 NaN 0.3200 0.3200 0.3200 0.3200
0.1925 0.346 0.366 0.3228 NaN 0.3209 0.3209 0.3209 0.3209
0.1950 0.347 0.367 0.3237 NaN 0.3218 0.3218 0.3218 0.3218
0.1975 0.348 0.368 0.3247 NaN 0.3227 0.3227 0.3227 0.3227
0.2000 0.349 0.370 0.3256 NaN 0.3236 0.3236 0.3236 0.3236
0.2025 0.351 0.371 0.3264 NaN 0.3245 0.3244 0.3244 0.3244
0.2050 0.352 0.372 0.3273 NaN 0.3253 0.3253 0.3253 0.3253
0.2075 0.353 0.374 0.3281 NaN 0.3262 0.3261 0.3262 0.3262
0.2100 0.354 0.375 0.3290 NaN 0.3270 0.3269 0.3270 0.3270
0.2125 0.354 0.376 0.3298 NaN 0.3278 0.3277 0.3278 0.3278
0.2150 0.355 0.377 0.3306 NaN 0.3287 0.3285 0.3286 0.3286
0.2175 0.356 0.379 0.3314 NaN 0.3295 0.3294 0.3294 0.3294
0.2200 0.357 0.380 0.3322 NaN 0.3303 0.3302 0.3302 0.3302
0.2225 0.358 0.381 0.3330 NaN 0.3310 0.3309 0.3310 0.3310
0.2250 0.359 0.382 0.3338 NaN 0.3318 0.3317 0.3318 0.3318
0.2275 0.360 0.383 0.3345 NaN 0.3326 0.3325 0.3326 0.3326
0.2300 0.361 0.384 0.3353 NaN 0.3333 0.3333 0.3333 0.3333
0.2325 0.362 0.386 0.3360 NaN 0.3341 0.3341 0.3341 0.3341
0.2350 0.363 0.387 0.3368 NaN 0.3348 0.3348 0.3348 0.3348
0.2375 0.364 0.388 0.3375 NaN 0.3356 0.3356 0.3356 0.3356
0.2400 0.364 0.389 0.3383 NaN 0.3363 0.3363 0.3363 0.3363
0.2425 0.365 0.390 0.3390 NaN 0.3370 0.3370 0.3370 0.3370
0.2450 0.366 0.391 0.3397 NaN 0.3377 0.3378 0.3377 0.3377
0.2475 0.367 0.392 0.3404 NaN 0.3384 0.3385 0.3384 0.3384
0.2500 0.368 0.393 0.3412 NaN 0.3391 0.3392 0.3391 0.3391

