Scheme Strike Density
TRBDF2 0.1055 4.10e-02
CN 0.1055 4.19e-02
Hagan 0.1156 -2.96e-02
LMG3 0.1156 4.36e-02
LMG2 0.1156 4.29e-02
RAN 0.1156 4.27e-02
RE 0.1156 4.36e-02
TRBDF2 0.1156 4.42e-02
CN 0.1156 4.51e-02
Hagan 0.1256 -1.78e-02
LMG3 0.1256 4.68e-02
LMG2 0.1256 4.61e-02
RAN 0.1256 4.58e-02
RE 0.1256 4.68e-02
TRBDF2 0.1256 4.74e-02
CN 0.1256 4.84e-02
Hagan 0.1357 -7.26e-03
LMG3 0.1357 5.01e-02
LMG2 0.1357 4.93e-02
RAN 0.1357 4.90e-02
RE 0.1357 5.01e-02
TRBDF2 0.1357 5.07e-02
CN 0.1357 5.17e-02
Hagan 0.1457 2.29e-03
LMG3 0.1457 5.34e-02
LMG2 0.1457 5.26e-02
RAN 0.1457 5.23e-02
RE 0.1457 5.35e-02
TRBDF2 0.1457 5.41e-02
CN 0.1457 5.51e-02
Hagan 0.1558 1.10e-02
LMG3 0.1558 5.68e-02
LMG2 0.1558 5.59e-02
RAN 0.1558 5.57e-02
RE 0.1558 5.69e-02
TRBDF2 0.1558 5.75e-02
CN 0.1558 5.86e-02
Hagan 0.1658 1.91e-02
LMG3 0.1658 6.03e-02
LMG2 0.1658 5.94e-02
RAN 0.1658 5.91e-02
RE 0.1658 6.04e-02
TRBDF2 0.1658 6.11e-02
CN 0.1658 6.21e-02
Hagan 0.1759 2.67e-02
LMG3 0.1759 6.39e-02
LMG2 0.1759 6.29e-02
RAN 0.1759 6.27e-02
RE 0.1759 6.41e-02
TRBDF2 0.1759 6.47e-02
CN 0.1759 6.58e-02
Hagan 0.1859 3.39e-02
LMG3 0.1859 6.76e-02
LMG2 0.1859 6.66e-02
RAN 0.1859 6.63e-02
RE 0.1859 6.78e-02
TRBDF2 0.1859 6.85e-02
CN 0.1859 6.96e-02
Hagan 0.1960 4.07e-02
LMG3 0.1960 7.14e-02
LMG2 0.1960 7.04e-02
RAN 0.1960 7.01e-02
RE 0.1960 7.17e-02
TRBDF2 0.1960 7.23e-02
CN 0.1960 7.34e-02
Hagan 0.2060 4.72e-02
LMG3 0.2060 7.54e-02
LMG2 0.2060 7.42e-02
RAN 0.2060 7.39e-02
RE 0.2060 7.57e-02
TRBDF2 0.2060 7.63e-02
CN 0.2060 7.74e-02
Hagan 0.2161 5.35e-02
LMG3 0.2161 7.94e-02
LMG2 0.2161 7.82e-02
RAN 0.2161 7.79e-02
RE 0.2161 7.98e-02
TRBDF2 0.2161 8.04e-02
CN 0.2161 8.15e-02
Hagan 0.2261 5.97e-02
LMG3 0.2261 8.36e-02
LMG2 0.2261 8.24e-02
RAN 0.2261 8.21e-02
RE 0.2261 8.41e-02
TRBDF2 0.2261 8.46e-02
CN 0.2261 8.57e-02
Hagan 0.2362 6.57e-02
LMG3 0.2362 8.80e-02
LMG2 0.2362 8.67e-02
RAN 0.2362 8.64e-02
RE 0.2362 8.85e-02
TRBDF2 0.2362 8.90e-02
CN 0.2362 9.01e-02
Hagan 0.2462 7.16e-02
LMG3 0.2462 9.24e-02
LMG2 0.2462 9.11e-02
RAN 0.2462 9.08e-02
RE 0.2462 9.31e-02
TRBDF2 0.2462 9.35e-02
CN 0.2462 9.46e-02
Hagan 0.2563 7.75e-02
LMG3 0.2563 9.71e-02
LMG2 0.2563 9.57e-02
RAN 0.2563 9.54e-02
RE 0.2563 9.78e-02
TRBDF2 0.2563 9.82e-02
CN 0.2563 9.92e-02
Hagan 0.2663 8.33e-02
LMG3 0.2663 1.02e-01
LMG2 0.2663 1.00e-01
RAN 0.2663 1.00e-01
RE 0.2663 1.03e-01
TRBDF2 0.2663 1.03e-01
CN 0.2663 1.04e-01
Hagan 0.2764 8.92e-02
LMG3 0.2764 1.07e-01
LMG2 0.2764 1.05e-01
RAN 0.2764 1.05e-01
RE 0.2764 1.08e-01
TRBDF2 0.2764 1.08e-01
CN 0.2764 1.09e-01
Hagan 0.2864 9.51e-02
LMG3 0.2864 1.12e-01
LMG2 0.2864 1.10e-01
RAN 0.2864 1.10e-01
RE 0.2864 1.13e-01
TRBDF2 0.2864 1.13e-01
CN 0.2864 1.14e-01
Hagan 0.2965 1.01e-01
LMG3 0.2965 1.17e-01
LMG2 0.2965 1.16e-01
RAN 0.2965 1.15e-01
RE 0.2965 1.19e-01
TRBDF2 0.2965 1.19e-01
CN 0.2965 1.19e-01
Hagan 0.3065 1.07e-01
LMG3 0.3065 1.23e-01
LMG2 0.3065 1.21e-01
RAN 0.3065 1.21e-01
RE 0.3065 1.24e-01
TRBDF2 0.3065 1.24e-01
CN 0.3065 1.25e-01
Hagan 0.3166 1.13e-01
LMG3 0.3166 1.29e-01
LMG2 0.3166 1.27e-01
RAN 0.3166 1.27e-01
RE 0.3166 1.30e-01
TRBDF2 0.3166 1.30e-01
CN 0.3166 1.31e-01
Hagan 0.3266 1.19e-01
LMG3 0.3266 1.35e-01
LMG2 0.3266 1.33e-01
RAN 0.3266 1.33e-01
RE 0.3266 1.36e-01
TRBDF2 0.3266 1.36e-01
CN 0.3266 1.36e-01
Hagan 0.3367 1.26e-01
LMG3 0.3367 1.41e-01
LMG2 0.3367 1.39e-01
RAN 0.3367 1.39e-01
RE 0.3367 1.43e-01
TRBDF2 0.3367 1.42e-01
CN 0.3367 1.43e-01
Hagan 0.3467 1.32e-01
LMG3 0.3467 1.47e-01
LMG2 0.3467 1.45e-01
RAN 0.3467 1.45e-01
RE 0.3467 1.49e-01
TRBDF2 0.3467 1.49e-01
CN 0.3467 1.49e-01
Hagan 0.3568 1.39e-01
LMG3 0.3568 1.54e-01
LMG2 0.3568 1.52e-01
RAN 0.3568 1.52e-01
RE 0.3568 1.56e-01
TRBDF2 0.3568 1.55e-01
CN 0.3568 1.56e-01
Hagan 0.3668 1.46e-01
LMG3 0.3668 1.61e-01
LMG2 0.3668 1.59e-01
RAN 0.3668 1.59e-01
RE 0.3668 1.64e-01
TRBDF2 0.3668 1.62e-01
CN 0.3668 1.62e-01
Hagan 0.3769 1.53e-01
LMG3 0.3769 1.68e-01
LMG2 0.3769 1.66e-01
RAN 0.3769 1.66e-01
RE 0.3769 1.71e-01
TRBDF2 0.3769 1.70e-01
CN 0.3769 1.70e-01
Hagan 0.3869 1.60e-01
LMG3 0.3869 1.76e-01
LMG2 0.3869 1.73e-01
RAN 0.3869 1.73e-01
RE 0.3869 1.79e-01
TRBDF2 0.3869 1.77e-01
CN 0.3869 1.77e-01
Hagan 0.3970 1.67e-01
LMG3 0.3970 1.83e-01
LMG2 0.3970 1.81e-01
RAN 0.3970 1.81e-01
RE 0.3970 1.87e-01
TRBDF2 0.3970 1.85e-01
CN 0.3970 1.85e-01
Hagan 0.4070 1.75e-01
LMG3 0.4070 1.92e-01
LMG2 0.4070 1.89e-01
RAN 0.4070 1.89e-01
RE 0.4070 1.95e-01
TRBDF2 0.4070 1.93e-01
CN 0.4070 1.93e-01
Hagan 0.4171 1.83e-01
LMG3 0.4171 2.00e-01
LMG2 0.4171 1.98e-01
RAN 0.4171 1.98e-01
RE 0.4171 2.04e-01
TRBDF2 0.4171 2.02e-01
CN 0.4171 2.01e-01
Hagan 0.4271 1.92e-01
LMG3 0.4271 2.09e-01
LMG2 0.4271 2.07e-01
RAN 0.4271 2.07e-01
RE 0.4271 2.13e-01
TRBDF2 0.4271 2.11e-01
CN 0.4271 2.10e-01
Hagan 0.4372 2.00e-01
LMG3 0.4372 2.18e-01
LMG2 0.4372 2.16e-01
RAN 0.4372 2.16e-01
RE 0.4372 2.23e-01
TRBDF2 0.4372 2.20e-01
CN 0.4372 2.19e-01
Hagan 0.4472 2.09e-01
LMG3 0.4472 2.28e-01
LMG2 0.4472 2.25e-01
RAN 0.4472 2.25e-01
RE 0.4472 2.33e-01
TRBDF2 0.4472 2.30e-01
CN 0.4472 2.28e-01
Hagan 0.4573 2.19e-01
LMG3 0.4573 2.38e-01
LMG2 0.4573 2.35e-01
RAN 0.4573 2.35e-01
RE 0.4573 2.43e-01
TRBDF2 0.4573 2.40e-01
CN 0.4573 2.38e-01
Hagan 0.4673 2.28e-01
LMG3 0.4673 2.48e-01
LMG2 0.4673 2.45e-01
RAN 0.4673 2.46e-01
RE 0.4673 2.54e-01
TRBDF2 0.4673 2.50e-01
CN 0.4673 2.48e-01
Hagan 0.4774 2.38e-01
LMG3 0.4774 2.59e-01
LMG2 0.4774 2.56e-01
RAN 0.4774 2.56e-01
RE 0.4774 2.65e-01
TRBDF2 0.4774 2.61e-01
CN 0.4774 2.59e-01
Hagan 0.4874 2.49e-01
LMG3 0.4874 2.70e-01
LMG2 0.4874 2.67e-01
RAN 0.4874 2.68e-01
RE 0.4874 2.77e-01
TRBDF2 0.4874 2.72e-01
CN 0.4874 2.70e-01
Hagan 0.4975 2.60e-01
LMG3 0.4975 2.82e-01
LMG2 0.4975 2.79e-01
RAN 0.4975 2.79e-01
RE 0.4975 2.89e-01
TRBDF2 0.4975 2.84e-01
CN 0.4975 2.82e-01
Hagan 0.5075 2.71e-01
LMG3 0.5075 2.94e-01
LMG2 0.5075 2.91e-01
RAN 0.5075 2.92e-01
RE 0.5075 3.02e-01
TRBDF2 0.5075 2.96e-01
CN 0.5075 2.94e-01
Hagan 0.5176 2.83e-01
LMG3 0.5176 3.07e-01
LMG2 0.5176 3.04e-01
RAN 0.5176 3.04e-01
RE 0.5176 3.15e-01
TRBDF2 0.5176 3.09e-01
CN 0.5176 3.07e-01
Hagan 0.5276 2.96e-01
LMG3 0.5276 3.20e-01
LMG2 0.5276 3.17e-01
RAN 0.5276 3.18e-01
RE 0.5276 3.29e-01
TRBDF2 0.5276 3.22e-01
CN 0.5276 3.21e-01
Hagan 0.5377 3.09e-01
LMG3 0.5377 3.34e-01
LMG2 0.5377 3.31e-01
RAN 0.5377 3.31e-01
RE 0.5377 3.43e-01
TRBDF2 0.5377 3.36e-01
CN 0.5377 3.35e-01
Hagan 0.5477 3.22e-01
LMG3 0.5477 3.48e-01
LMG2 0.5477 3.45e-01
RAN 0.5477 3.46e-01
RE 0.5477 3.58e-01
TRBDF2 0.5477 3.50e-01
CN 0.5477 3.50e-01
Hagan 0.5578 3.37e-01
LMG3 0.5578 3.63e-01
LMG2 0.5578 3.60e-01
RAN 0.5578 3.61e-01
RE 0.5578 3.74e-01
TRBDF2 0.5578 3.65e-01
CN 0.5578 3.65e-01
Hagan 0.5678 3.51e-01
LMG3 0.5678 3.79e-01
LMG2 0.5678 3.76e-01
RAN 0.5678 3.76e-01
RE 0.5678 3.90e-01
TRBDF2 0.5678 3.81e-01
CN 0.5678 3.82e-01
Hagan 0.5779 3.67e-01
LMG3 0.5779 3.95e-01
LMG2 0.5779 3.92e-01
RAN 0.5779 3.93e-01
RE 0.5779 4.07e-01
TRBDF2 0.5779 3.97e-01
CN 0.5779 3.99e-01
Hagan 0.5879 3.83e-01
LMG3 0.5879 4.12e-01
LMG2 0.5879 4.09e-01
RAN 0.5879 4.09e-01
RE 0.5879 4.24e-01
TRBDF2 0.5879 4.14e-01
CN 0.5879 4.17e-01
Hagan 0.5980 4.00e-01
LMG3 0.5980 4.29e-01
LMG2 0.5980 4.27e-01
RAN 0.5980 4.27e-01
RE 0.5980 4.43e-01
TRBDF2 0.5980 4.32e-01
CN 0.5980 4.36e-01
Hagan 0.6080 4.17e-01
LMG3 0.6080 4.47e-01
LMG2 0.6080 4.45e-01
RAN 0.6080 4.45e-01
RE 0.6080 4.61e-01
TRBDF2 0.6080 4.50e-01
CN 0.6080 4.56e-01
Hagan 0.6181 4.36e-01
LMG3 0.6181 4.66e-01
LMG2 0.6181 4.64e-01
RAN 0.6181 4.64e-01
RE 0.6181 4.81e-01
TRBDF2 0.6181 4.69e-01
CN 0.6181 4.76e-01
Hagan 0.6281 4.55e-01
LMG3 0.6281 4.86e-01
LMG2 0.6281 4.84e-01
RAN 0.6281 4.84e-01
RE 0.6281 5.01e-01
TRBDF2 0.6281 4.88e-01
CN 0.6281 4.98e-01
Hagan 0.6382 4.75e-01
LMG3 0.6382 5.07e-01
LMG2 0.6382 5.04e-01
RAN 0.6382 5.05e-01
RE 0.6382 5.22e-01
TRBDF2 0.6382 5.09e-01
CN 0.6382 5.21e-01
Hagan 0.6482 4.96e-01
LMG3 0.6482 5.28e-01
LMG2 0.6482 5.25e-01
RAN 0.6482 5.26e-01
RE 0.6482 5.44e-01
TRBDF2 0.6482 5.30e-01
CN 0.6482 5.45e-01
Hagan 0.6583 5.18e-01
LMG3 0.6583 5.50e-01
LMG2 0.6583 5.48e-01
RAN 0.6583 5.48e-01
RE 0.6583 5.66e-01
TRBDF2 0.6583 5.52e-01
CN 0.6583 5.70e-01
Hagan 0.6683 5.40e-01
LMG3 0.6683 5.72e-01
LMG2 0.6683 5.70e-01
RAN 0.6683 5.71e-01
RE 0.6683 5.89e-01
TRBDF2 0.6683 5.74e-01
CN 0.6683 5.96e-01
Hagan 0.6784 5.64e-01
LMG3 0.6784 5.96e-01
LMG2 0.6784 5.94e-01
RAN 0.6784 5.95e-01
RE 0.6784 6.13e-01
TRBDF2 0.6784 5.98e-01
CN 0.6784 6.22e-01
Hagan 0.6884 5.88e-01
LMG3 0.6884 6.20e-01
LMG2 0.6884 6.18e-01
RAN 0.6884 6.19e-01
RE 0.6884 6.37e-01
TRBDF2 0.6884 6.22e-01
CN 0.6884 6.50e-01
Hagan 0.6985 6.14e-01
LMG3 0.6985 6.45e-01
LMG2 0.6985 6.44e-01
RAN 0.6985 6.44e-01
RE 0.6985 6.63e-01
TRBDF2 0.6985 6.47e-01
CN 0.6985 6.78e-01
Hagan 0.7085 6.40e-01
LMG3 0.7085 6.71e-01
LMG2 0.7085 6.70e-01
RAN 0.7085 6.70e-01
RE 0.7085 6.89e-01
TRBDF2 0.7085 6.72e-01
CN 0.7085 7.06e-01
Hagan 0.7186 6.67e-01
LMG3 0.7186 6.98e-01
LMG2 0.7186 6.97e-01
RAN 0.7186 6.97e-01
RE 0.7186 7.15e-01
TRBDF2 0.7186 6.99e-01
CN 0.7186 7.35e-01
Hagan 0.7286 6.96e-01
LMG3 0.7286 7.25e-01
LMG2 0.7286 7.24e-01
RAN 0.7286 7.25e-01
RE 0.7286 7.42e-01
TRBDF2 0.7286 7.26e-01
CN 0.7286 7.63e-01
Hagan 0.7387 7.25e-01
LMG3 0.7387 7.53e-01
LMG2 0.7387 7.52e-01
RAN 0.7387 7.53e-01
RE 0.7387 7.70e-01
TRBDF2 0.7387 7.54e-01
CN 0.7387 7.90e-01
Hagan 0.7487 7.55e-01
LMG3 0.7487 7.82e-01
LMG2 0.7487 7.81e-01
RAN 0.7487 7.82e-01
RE 0.7487 7.98e-01
TRBDF2 0.7487 7.82e-01
CN 0.7487 8.16e-01
Hagan 0.7588 7.86e-01
LMG3 0.7588 8.11e-01
LMG2 0.7588 8.11e-01
RAN 0.7588 8.12e-01
RE 0.7588 8.26e-01
TRBDF2 0.7588 8.11e-01
CN 0.7588 8.40e-01
Hagan 0.7688 8.18e-01
LMG3 0.7688 8.41e-01
LMG2 0.7688 8.41e-01
RAN 0.7688 8.42e-01
RE 0.7688 8.55e-01
TRBDF2 0.7688 8.41e-01
CN 0.7688 8.61e-01
Hagan 0.7789 8.50e-01
LMG3 0.7789 8.72e-01
LMG2 0.7789 8.72e-01
RAN 0.7789 8.73e-01
RE 0.7789 8.84e-01
TRBDF2 0.7789 8.71e-01
CN 0.7789 8.78e-01
Hagan 0.7889 8.83e-01
LMG3 0.7889 9.02e-01
LMG2 0.7889 9.03e-01
RAN 0.7889 9.05e-01
RE 0.7889 9.14e-01
TRBDF2 0.7889 9.02e-01
CN 0.7889 8.91e-01
Hagan 0.7990 9.17e-01
LMG3 0.7990 9.34e-01
LMG2 0.7990 9.34e-01
RAN 0.7990 9.36e-01
RE 0.7990 9.43e-01
TRBDF2 0.7990 9.33e-01
CN 0.7990 8.97e-01
Hagan 0.8090 9.51e-01
LMG3 0.8090 9.65e-01
LMG2 0.8090 9.66e-01
RAN 0.8090 9.68e-01
RE 0.8090 9.72e-01
TRBDF2 0.8090 9.64e-01
CN 0.8090 8.97e-01
Hagan 0.8191 9.86e-01
LMG3 0.8191 9.96e-01
LMG2 0.8191 9.98e-01
RAN 0.8191 1.00e+00
RE 0.8191 1.00e+00
TRBDF2 0.8191 9.95e-01
CN 0.8191 8.88e-01
Hagan 0.8291 1.02e+00
LMG3 0.8291 1.03e+00
LMG2 0.8291 1.03e+00
RAN 0.8291 1.03e+00
RE 0.8291 1.03e+00
TRBDF2 0.8291 1.03e+00
CN 0.8291 8.72e-01
Hagan 0.8392 1.06e+00
LMG3 0.8392 1.06e+00
LMG2 0.8392 1.06e+00
RAN 0.8392 1.06e+00
RE 0.8392 1.06e+00
TRBDF2 0.8392 1.06e+00
CN 0.8392 8.48e-01
Hagan 0.8492 1.09e+00
LMG3 0.8492 1.09e+00
LMG2 0.8492 1.09e+00
RAN 0.8492 1.10e+00
RE 0.8492 1.09e+00
TRBDF2 0.8492 1.09e+00
CN 0.8492 8.18e-01
Hagan 0.8593 1.13e+00
LMG3 0.8593 1.12e+00
LMG2 0.8593 1.12e+00
RAN 0.8593 1.13e+00
RE 0.8593 1.11e+00
TRBDF2 0.8593 1.12e+00
CN 0.8593 7.86e-01
Hagan 0.8693 1.16e+00
LMG3 0.8693 1.15e+00
LMG2 0.8693 1.15e+00
RAN 0.8693 1.16e+00
RE 0.8693 1.14e+00
TRBDF2 0.8693 1.15e+00
CN 0.8693 7.57e-01
Hagan 0.8794 1.19e+00
LMG3 0.8794 1.18e+00
LMG2 0.8794 1.18e+00
RAN 0.8794 1.19e+00
RE 0.8794 1.17e+00
TRBDF2 0.8794 1.18e+00
CN 0.8794 7.42e-01
Hagan 0.8894 1.23e+00
LMG3 0.8894 1.21e+00
LMG2 0.8894 1.21e+00
RAN 0.8894 1.21e+00
RE 0.8894 1.19e+00
TRBDF2 0.8894 1.21e+00
CN 0.8894 7.57e-01
Hagan 0.8995 1.26e+00
LMG3 0.8995 1.23e+00
LMG2 0.8995 1.24e+00
RAN 0.8995 1.24e+00
RE 0.8995 1.21e+00
TRBDF2 0.8995 1.23e+00
CN 0.8995 8.25e-01
Hagan 0.9095 1.29e+00
LMG3 0.9095 1.26e+00
LMG2 0.9095 1.26e+00
RAN 0.9095 1.27e+00
RE 0.9095 1.24e+00
TRBDF2 0.9095 1.26e+00
CN 0.9095 9.82e-01
Hagan 0.9196 1.31e+00
LMG3 0.9196 1.28e+00
LMG2 0.9196 1.29e+00
RAN 0.9196 1.29e+00
RE 0.9196 1.26e+00
TRBDF2 0.9196 1.28e+00
CN 0.9196 1.28e+00
Hagan 0.9296 1.34e+00
LMG3 0.9296 1.30e+00
LMG2 0.9296 1.31e+00
RAN 0.9296 1.31e+00
RE 0.9296 1.27e+00
TRBDF2 0.9296 1.30e+00
CN 0.9296 1.78e+00
Hagan 0.9397 1.36e+00
LMG3 0.9397 1.32e+00
LMG2 0.9397 1.33e+00
RAN 0.9397 1.33e+00
RE 0.9397 1.29e+00
TRBDF2 0.9397 1.32e+00
CN 0.9397 2.57e+00
Hagan 0.9497 1.38e+00
LMG3 0.9497 1.34e+00
LMG2 0.9497 1.34e+00
RAN 0.9497 1.35e+00
RE 0.9497 1.30e+00
TRBDF2 0.9497 1.34e+00
CN 0.9497 3.79e+00
Hagan 0.9598 1.40e+00
LMG3 0.9598 1.35e+00
LMG2 0.9598 1.36e+00
RAN 0.9598 1.36e+00
RE 0.9598 1.32e+00
TRBDF2 0.9598 1.35e+00
CN 0.9598 5.60e+00
Hagan 0.9698 1.42e+00
LMG3 0.9698 1.37e+00
LMG2 0.9698 1.37e+00
RAN 0.9698 1.37e+00
RE 0.9698 1.33e+00
TRBDF2 0.9698 1.36e+00
CN 0.9698 8.22e+00
Hagan 0.9799 1.43e+00
LMG3 0.9799 1.38e+00
LMG2 0.9799 1.38e+00
RAN 0.9799 1.38e+00
RE 0.9799 1.33e+00
TRBDF2 0.9799 1.37e+00
CN 0.9799 1.19e+01
Hagan 0.9899 1.44e+00
LMG3 0.9899 1.38e+00
LMG2 0.9899 1.39e+00
RAN 0.9899 1.39e+00
RE 0.9899 1.34e+00
TRBDF2 0.9899 1.38e+00
CN 0.9899 1.71e+01
Hagan 1.0000 1.44e+00
LMG3 1.0000 1.39e+00
LMG2 1.0000 1.39e+00
RAN 1.0000 1.39e+00
RE 1.0000 1.34e+00
TRBDF2 1.0000 1.38e+00
CN 1.0000 -7.62e+01
Hagan 1.0101 1.45e+00
LMG3 1.0101 1.39e+00
LMG2 1.0101 1.39e+00
RAN 1.0101 1.39e+00
RE 1.0101 1.34e+00
TRBDF2 1.0101 1.38e+00
CN 1.0101 1.71e+01
Hagan 1.0201 1.45e+00
LMG3 1.0201 1.38e+00
LMG2 1.0201 1.39e+00
RAN 1.0201 1.39e+00
RE 1.0201 1.34e+00
TRBDF2 1.0201 1.38e+00
CN 1.0201 1.19e+01
Hagan 1.0302 1.44e+00
LMG3 1.0302 1.38e+00
LMG2 1.0302 1.38e+00
RAN 1.0302 1.38e+00
RE 1.0302 1.34e+00
TRBDF2 1.0302 1.37e+00
CN 1.0302 8.24e+00
Hagan 1.0402 1.43e+00
LMG3 1.0402 1.37e+00
LMG2 1.0402 1.37e+00
RAN 1.0402 1.37e+00
RE 1.0402 1.33e+00
TRBDF2 1.0402 1.36e+00
CN 1.0402 5.62e+00
Hagan 1.0503 1.42e+00
LMG3 1.0503 1.36e+00
LMG2 1.0503 1.36e+00
RAN 1.0503 1.36e+00
RE 1.0503 1.32e+00
TRBDF2 1.0503 1.35e+00
CN 1.0503 3.81e+00
Hagan 1.0603 1.40e+00
LMG3 1.0603 1.34e+00
LMG2 1.0603 1.35e+00
RAN 1.0603 1.35e+00
RE 1.0603 1.31e+00
TRBDF2 1.0603 1.34e+00
CN 1.0603 2.59e+00
Hagan 1.0704 1.39e+00
LMG3 1.0704 1.33e+00
LMG2 1.0704 1.33e+00
RAN 1.0704 1.33e+00
RE 1.0704 1.30e+00
TRBDF2 1.0704 1.32e+00
CN 1.0704 1.79e+00
Hagan 1.0804 1.36e+00
LMG3 1.0804 1.31e+00
LMG2 1.0804 1.31e+00
RAN 1.0804 1.31e+00
RE 1.0804 1.28e+00
TRBDF2 1.0804 1.30e+00
CN 1.0804 1.29e+00
Hagan 1.0905 1.34e+00
LMG3 1.0905 1.29e+00
LMG2 1.0905 1.29e+00
RAN 1.0905 1.29e+00
RE 1.0905 1.26e+00
TRBDF2 1.0905 1.28e+00
CN 1.0905 1.00e+00
Hagan 1.1005 1.31e+00
LMG3 1.1005 1.26e+00
LMG2 1.1005 1.27e+00
RAN 1.1005 1.27e+00
RE 1.1005 1.24e+00
TRBDF2 1.1005 1.26e+00
CN 1.1005 8.49e-01
Hagan 1.1106 1.28e+00
LMG3 1.1106 1.24e+00
LMG2 1.1106 1.24e+00
RAN 1.1106 1.24e+00
RE 1.1106 1.22e+00
TRBDF2 1.1106 1.24e+00
CN 1.1106 7.83e-01
Hagan 1.1206 1.25e+00
LMG3 1.1206 1.21e+00
LMG2 1.1206 1.21e+00
RAN 1.1206 1.22e+00
RE 1.1206 1.20e+00
TRBDF2 1.1206 1.21e+00
CN 1.1206 7.70e-01
Hagan 1.1307 1.22e+00
LMG3 1.1307 1.18e+00
LMG2 1.1307 1.18e+00
RAN 1.1307 1.19e+00
RE 1.1307 1.17e+00
TRBDF2 1.1307 1.18e+00
CN 1.1307 7.87e-01
Hagan 1.1407 1.19e+00
LMG3 1.1407 1.15e+00
LMG2 1.1407 1.15e+00
RAN 1.1407 1.16e+00
RE 1.1407 1.15e+00
TRBDF2 1.1407 1.15e+00
CN 1.1407 8.17e-01
Hagan 1.1508 1.15e+00
LMG3 1.1508 1.12e+00
LMG2 1.1508 1.12e+00
RAN 1.1508 1.13e+00
RE 1.1508 1.12e+00
TRBDF2 1.1508 1.12e+00
CN 1.1508 8.51e-01
Hagan 1.1608 1.12e+00
LMG3 1.1608 1.09e+00
LMG2 1.1608 1.09e+00
RAN 1.1608 1.09e+00
RE 1.1608 1.09e+00
TRBDF2 1.1608 1.09e+00
CN 1.1608 8.80e-01
Hagan 1.1709 1.08e+00
LMG3 1.1709 1.06e+00
LMG2 1.1709 1.06e+00
RAN 1.1709 1.06e+00
RE 1.1709 1.06e+00
TRBDF2 1.1709 1.06e+00
CN 1.1709 9.04e-01
Hagan 1.1809 1.05e+00
LMG3 1.1809 1.02e+00
LMG2 1.1809 1.03e+00
RAN 1.1809 1.03e+00
RE 1.1809 1.03e+00
TRBDF2 1.1809 1.02e+00
CN 1.1809 9.19e-01
Hagan 1.1910 1.01e+00
LMG3 1.1910 9.92e-01
LMG2 1.1910 9.93e-01
RAN 1.1910 9.95e-01
RE 1.1910 1.00e+00
TRBDF2 1.1910 9.91e-01
CN 1.1910 9.25e-01
Hagan 1.2010 9.74e-01
LMG3 1.2010 9.59e-01
LMG2 1.2010 9.60e-01
RAN 1.2010 9.62e-01
RE 1.2010 9.69e-01
TRBDF2 1.2010 9.58e-01
CN 1.2010 9.24e-01
Hagan 1.2111 9.38e-01
LMG3 1.2111 9.26e-01
