Scheme Strike Density
Hagan 0.0050 1.71e+00
LMG3 0.0050 6.35e-03
LMG2 0.0050 6.25e-03
RAN 0.0050 6.21e-03
RE 0.0050 6.33e-03
TRBDF2 0.0050 6.44e-03
CN 0.0050 6.59e-03
Hagan 0.0151 -3.30e-01
LMG3 0.0151 1.15e-02
LMG2 0.0151 1.13e-02
RAN 0.0151 1.12e-02
RE 0.0151 1.14e-02
TRBDF2 0.0151 1.16e-02
CN 0.0151 1.19e-02
Hagan 0.0251 -3.04e-01
LMG3 0.0251 1.54e-02
LMG2 0.0251 1.51e-02
RAN 0.0251 1.50e-02
RE 0.0251 1.53e-02
TRBDF2 0.0251 1.56e-02
CN 0.0251 1.60e-02
Hagan 0.0352 -2.44e-01
LMG3 0.0352 1.89e-02
LMG2 0.0352 1.85e-02
RAN 0.0352 1.84e-02
RE 0.0352 1.88e-02
TRBDF2 0.0352 1.91e-02
CN 0.0352 1.95e-02
Hagan 0.0452 -1.94e-01
LMG3 0.0452 2.21e-02
LMG2 0.0452 2.17e-02
RAN 0.0452 2.16e-02
RE 0.0452 2.20e-02
TRBDF2 0.0452 2.24e-02
CN 0.0452 2.29e-02
Hagan 0.0553 -1.54e-01
LMG3 0.0553 2.52e-02
LMG2 0.0553 2.48e-02
RAN 0.0553 2.47e-02
RE 0.0553 2.52e-02
TRBDF2 0.0553 2.56e-02
CN 0.0553 2.61e-02
Hagan 0.0653 -1.23e-01
LMG3 0.0653 2.83e-02
LMG2 0.0653 2.78e-02
RAN 0.0653 2.77e-02
RE 0.0653 2.82e-02
TRBDF2 0.0653 2.87e-02
CN 0.0653 2.93e-02
Hagan 0.0754 -9.72e-02
LMG3 0.0754 3.13e-02
LMG2 0.0754 3.08e-02
RAN 0.0754 3.06e-02
RE 0.0754 3.13e-02
TRBDF2 0.0754 3.17e-02
CN 0.0754 3.24e-02
Hagan 0.0854 -7.61e-02
LMG3 0.0854 3.44e-02
LMG2 0.0854 3.38e-02
RAN 0.0854 3.36e-02
RE 0.0854 3.43e-02
TRBDF2 0.0854 3.48e-02
CN 0.0854 3.56e-02
Hagan 0.0955 -5.82e-02
LMG3 0.0955 3.74e-02
LMG2 0.0955 3.68e-02
RAN 0.0955 3.66e-02
RE 0.0955 3.74e-02
TRBDF2 0.0955 3.79e-02
CN 0.0955 3.87e-02
Hagan 0.1055 -4.29e-02
LMG3 0.1055 4.05e-02
LMG2 0.1055 3.99e-02
RAN 0.1055 3.96e-02
RE 0.1055 4.05e-02
