z F
-2.040842161467334 -0.02640034656842835
-1.9132895263756258 0.02640034656842835
-1.7857368912839173 0.10541928665655224
-1.6581842561922089 0.19267408266682806
-1.5306316211005004 0.27973167154656764
-1.4030789860087922 0.3633675190294899
-1.2755263509170838 0.44222748467085876
-1.1479737158253753 0.5158528164360665
-1.020421080733667 0.5842654142584597
-0.8928684456419587 0.6477589374437969
-0.7653158105502502 0.7067836954236154
-0.6377631754585418 0.7618802550378418
-0.5102105403668333 0.8136406824448048
-0.3826579052751251 0.8626864891498501
-0.25510527018341667 0.9096571931878261
-0.12755263509170822 0.9552059342735415
2.220446049250313E-16 1.0
0.12755263509170867 1.044724965553607
0.2551052701834169 1.0900916816907071
0.3826579052751251 1.1368456995671514
0.5102105403668338 1.185778970528195
0.637763175458542 1.2377438471490634
0.7653158105502507 1.2936695649282868
0.8928684456419589 1.3545815189810075
1.020421080733667 1.4216237783917123
1.1479737158253758 1.4960854109864072
1.275526350917084 1.5794313298303932
1.4030789860087922 1.6733385255017101
1.5306316211005009 1.7797387205730317
1.658184256192209 1.9008686803381547
1.7857368912839178 2.03932964274401
1.913289526375626 2.1981575976958636
2.040842161467334 2.380906459533381
2.168394796559043 2.5917465461606515
2.2959474316507515 2.8355812154820716
2.4235000667424593 3.1181850279804335
2.551052701834168 3.4463674194385727
2.6786053369258767 3.8281665987201494
2.8061579720175844 4.273079254206322
2.933710607109293 4.79233268475177
3.0612632422010018 5.399207197189267
3.1888158772927095 6.109418068146987
3.316368512384418 6.941568095331654
3.443921147476127 7.917683812246904
3.5714737825678347 9.063850869534926
3.6990264176595433 10.41096696570954
3.826579052751252 11.995634123025354
3.9541316878429598 13.861216149162278
4.081684322934668 16.059091919270937
4.209236958026377 24.1712172235008
