Scheme Strike Density
LMG2 0.2764 1.07e-01
RAN 0.2764 1.07e-01
RE 0.2764 1.07e-01
TRBDF2 0.2764 1.07e-01
CN 0.2764 1.07e-01
Hagan 0.2864 9.51e-02
LMG3 0.2864 1.12e-01
LMG2 0.2864 1.12e-01
RAN 0.2864 1.12e-01
RE 0.2864 1.12e-01
TRBDF2 0.2864 1.12e-01
CN 0.2864 1.12e-01
Hagan 0.2965 1.01e-01
LMG3 0.2965 1.18e-01
LMG2 0.2965 1.18e-01
RAN 0.2965 1.18e-01
RE 0.2965 1.18e-01
TRBDF2 0.2965 1.18e-01
CN 0.2965 1.18e-01
Hagan 0.3065 1.07e-01
LMG3 0.3065 1.23e-01
LMG2 0.3065 1.23e-01
RAN 0.3065 1.23e-01
RE 0.3065 1.23e-01
TRBDF2 0.3065 1.23e-01
CN 0.3065 1.23e-01
Hagan 0.3166 1.13e-01
LMG3 0.3166 1.29e-01
LMG2 0.3166 1.29e-01
RAN 0.3166 1.29e-01
RE 0.3166 1.29e-01
TRBDF2 0.3166 1.29e-01
CN 0.3166 1.29e-01
Hagan 0.3266 1.19e-01
LMG3 0.3266 1.35e-01
LMG2 0.3266 1.35e-01
RAN 0.3266 1.35e-01
RE 0.3266 1.35e-01
TRBDF2 0.3266 1.35e-01
CN 0.3266 1.35e-01
Hagan 0.3367 1.26e-01
LMG3 0.3367 1.41e-01
LMG2 0.3367 1.41e-01
RAN 0.3367 1.41e-01
RE 0.3367 1.41e-01
TRBDF2 0.3367 1.41e-01
CN 0.3367 1.41e-01
Hagan 0.3467 1.32e-01
LMG3 0.3467 1.48e-01
LMG2 0.3467 1.48e-01
RAN 0.3467 1.48e-01
RE 0.3467 1.48e-01
TRBDF2 0.3467 1.48e-01
CN 0.3467 1.48e-01
Hagan 0.3568 1.39e-01
LMG3 0.3568 1.54e-01
LMG2 0.3568 1.54e-01
RAN 0.3568 1.54e-01
RE 0.3568 1.54e-01
TRBDF2 0.3568 1.54e-01
CN 0.3568 1.54e-01
Hagan 0.3668 1.46e-01
LMG3 0.3668 1.61e-01
LMG2 0.3668 1.61e-01
RAN 0.3668 1.61e-01
RE 0.3668 1.61e-01
TRBDF2 0.3668 1.61e-01
CN 0.3668 1.61e-01
Hagan 0.3769 1.53e-01
LMG3 0.3769 1.69e-01
LMG2 0.3769 1.68e-01
RAN 0.3769 1.68e-01
RE 0.3769 1.69e-01
TRBDF2 0.3769 1.69e-01
CN 0.3769 1.69e-01
Hagan 0.3869 1.60e-01
LMG3 0.3869 1.76e-01
LMG2 0.3869 1.76e-01
RAN 0.3869 1.76e-01
RE 0.3869 1.76e-01
TRBDF2 0.3869 1.76e-01
CN 0.3869 1.76e-01
Hagan 0.3970 1.67e-01
LMG3 0.3970 1.84e-01
LMG2 0.3970 1.84e-01
RAN 0.3970 1.84e-01
RE 0.3970 1.84e-01
TRBDF2 0.3970 1.84e-01
CN 0.3970 1.84e-01
Hagan 0.4070 1.75e-01
LMG3 0.4070 1.92e-01
LMG2 0.4070 1.92e-01
RAN 0.4070 1.92e-01
RE 0.4070 1.92e-01
TRBDF2 0.4070 1.92e-01
CN 0.4070 1.92e-01
Hagan 0.4171 1.83e-01
LMG3 0.4171 2.01e-01
LMG2 0.4171 2.00e-01
RAN 0.4171 2.00e-01
RE 0.4171 2.01e-01
TRBDF2 0.4171 2.01e-01
CN 0.4171 2.01e-01
Hagan 0.4271 1.92e-01
LMG3 0.4271 2.09e-01
LMG2 0.4271 2.09e-01
RAN 0.4271 2.09e-01
RE 0.4271 2.09e-01
TRBDF2 0.4271 2.09e-01
CN 0.4271 2.09e-01
Hagan 0.4372 2.00e-01
LMG3 0.4372 2.19e-01
LMG2 0.4372 2.18e-01
RAN 0.4372 2.18e-01
RE 0.4372 2.19e-01
TRBDF2 0.4372 2.19e-01
CN 0.4372 2.19e-01
Hagan 0.4472 2.09e-01
LMG3 0.4472 2.28e-01
LMG2 0.4472 2.28e-01
RAN 0.4472 2.28e-01
RE 0.4472 2.28e-01
TRBDF2 0.4472 2.28e-01
CN 0.4472 2.28e-01
Hagan 0.4573 2.19e-01
LMG3 0.4573 2.38e-01
LMG2 0.4573 2.38e-01
RAN 0.4573 2.38e-01
RE 0.4573 2.38e-01
TRBDF2 0.4573 2.38e-01
CN 0.4573 2.38e-01
Hagan 0.4673 2.28e-01
LMG3 0.4673 2.48e-01
LMG2 0.4673 2.48e-01
RAN 0.4673 2.48e-01
RE 0.4673 2.49e-01
TRBDF2 0.4673 2.48e-01
CN 0.4673 2.49e-01
Hagan 0.4774 2.38e-01
LMG3 0.4774 2.59e-01
LMG2 0.4774 2.59e-01
RAN 0.4774 2.59e-01
RE 0.4774 2.59e-01
TRBDF2 0.4774 2.59e-01
CN 0.4774 2.59e-01
Hagan 0.4874 2.49e-01
LMG3 0.4874 2.71e-01
LMG2 0.4874 2.70e-01
RAN 0.4874 2.70e-01
RE 0.4874 2.71e-01
TRBDF2 0.4874 2.71e-01
CN 0.4874 2.71e-01
Hagan 0.4975 2.60e-01
LMG3 0.4975 2.82e-01
LMG2 0.4975 2.82e-01
RAN 0.4975 2.82e-01
RE 0.4975 2.82e-01
TRBDF2 0.4975 2.82e-01
CN 0.4975 2.82e-01
Hagan 0.5075 2.71e-01
LMG3 0.5075 2.94e-01
LMG2 0.5075 2.94e-01
RAN 0.5075 2.94e-01
RE 0.5075 2.95e-01
TRBDF2 0.5075 2.95e-01
CN 0.5075 2.95e-01
Hagan 0.5176 2.83e-01
LMG3 0.5176 3.07e-01
LMG2 0.5176 3.07e-01
RAN 0.5176 3.07e-01
RE 0.5176 3.07e-01
TRBDF2 0.5176 3.07e-01
CN 0.5176 3.07e-01
Hagan 0.5276 2.96e-01
LMG3 0.5276 3.20e-01
LMG2 0.5276 3.20e-01
RAN 0.5276 3.20e-01
RE 0.5276 3.21e-01
TRBDF2 0.5276 3.21e-01
CN 0.5276 3.21e-01
Hagan 0.5377 3.09e-01
LMG3 0.5377 3.34e-01
LMG2 0.5377 3.34e-01
RAN 0.5377 3.34e-01
RE 0.5377 3.34e-01
TRBDF2 0.5377 3.34e-01
CN 0.5377 3.34e-01
Hagan 0.5477 3.22e-01
LMG3 0.5477 3.49e-01
LMG2 0.5477 3.49e-01
RAN 0.5477 3.49e-01
RE 0.5477 3.49e-01
TRBDF2 0.5477 3.49e-01
CN 0.5477 3.49e-01
Hagan 0.5578 3.37e-01
LMG3 0.5578 3.64e-01
LMG2 0.5578 3.64e-01
RAN 0.5578 3.64e-01
RE 0.5578 3.64e-01
TRBDF2 0.5578 3.64e-01
CN 0.5578 3.64e-01
Hagan 0.5678 3.51e-01
LMG3 0.5678 3.79e-01
LMG2 0.5678 3.79e-01
RAN 0.5678 3.79e-01
RE 0.5678 3.79e-01
TRBDF2 0.5678 3.79e-01
CN 0.5678 3.79e-01
Hagan 0.5779 3.67e-01
LMG3 0.5779 3.95e-01
LMG2 0.5779 3.95e-01
RAN 0.5779 3.95e-01
RE 0.5779 3.96e-01
TRBDF2 0.5779 3.95e-01
CN 0.5779 3.95e-01
Hagan 0.5879 3.83e-01
LMG3 0.5879 4.12e-01
LMG2 0.5879 4.12e-01
RAN 0.5879 4.12e-01
RE 0.5879 4.12e-01
TRBDF2 0.5879 4.12e-01
CN 0.5879 4.12e-01
Hagan 0.5980 4.00e-01
LMG3 0.5980 4.30e-01
LMG2 0.5980 4.30e-01
RAN 0.5980 4.30e-01
RE 0.5980 4.30e-01
TRBDF2 0.5980 4.30e-01
CN 0.5980 4.30e-01
Hagan 0.6080 4.17e-01
LMG3 0.6080 4.48e-01
LMG2 0.6080 4.48e-01
RAN 0.6080 4.48e-01
RE 0.6080 4.48e-01
TRBDF2 0.6080 4.48e-01
CN 0.6080 4.48e-01
Hagan 0.6181 4.36e-01
LMG3 0.6181 4.67e-01
LMG2 0.6181 4.67e-01
RAN 0.6181 4.67e-01
RE 0.6181 4.67e-01
TRBDF2 0.6181 4.67e-01
CN 0.6181 4.67e-01
Hagan 0.6281 4.55e-01
LMG3 0.6281 4.87e-01
LMG2 0.6281 4.87e-01
RAN 0.6281 4.87e-01
RE 0.6281 4.87e-01
TRBDF2 0.6281 4.87e-01
CN 0.6281 4.87e-01
Hagan 0.6382 4.75e-01
LMG3 0.6382 5.07e-01
LMG2 0.6382 5.07e-01
RAN 0.6382 5.07e-01
RE 0.6382 5.07e-01
TRBDF2 0.6382 5.07e-01
CN 0.6382 5.07e-01
Hagan 0.6482 4.96e-01
LMG3 0.6482 5.28e-01
LMG2 0.6482 5.28e-01
RAN 0.6482 5.28e-01
RE 0.6482 5.28e-01
TRBDF2 0.6482 5.28e-01
CN 0.6482 5.28e-01
Hagan 0.6583 5.18e-01
LMG3 0.6583 5.50e-01
LMG2 0.6583 5.50e-01
RAN 0.6583 5.50e-01
RE 0.6583 5.50e-01
TRBDF2 0.6583 5.50e-01
CN 0.6583 5.50e-01
Hagan 0.6683 5.40e-01
LMG3 0.6683 5.73e-01
LMG2 0.6683 5.73e-01
RAN 0.6683 5.73e-01
RE 0.6683 5.73e-01
TRBDF2 0.6683 5.73e-01
CN 0.6683 5.73e-01
Hagan 0.6784 5.64e-01
LMG3 0.6784 5.96e-01
LMG2 0.6784 5.96e-01
RAN 0.6784 5.96e-01
RE 0.6784 5.97e-01
TRBDF2 0.6784 5.96e-01
CN 0.6784 5.96e-01
Hagan 0.6884 5.88e-01
LMG3 0.6884 6.21e-01
LMG2 0.6884 6.21e-01
RAN 0.6884 6.21e-01
RE 0.6884 6.21e-01
TRBDF2 0.6884 6.21e-01
CN 0.6884 6.21e-01
Hagan 0.6985 6.14e-01
LMG3 0.6985 6.46e-01
LMG2 0.6985 6.46e-01
RAN 0.6985 6.46e-01
RE 0.6985 6.46e-01
TRBDF2 0.6985 6.46e-01
CN 0.6985 6.46e-01
Hagan 0.7085 6.40e-01
LMG3 0.7085 6.72e-01
LMG2 0.7085 6.72e-01
RAN 0.7085 6.72e-01
RE 0.7085 6.72e-01
TRBDF2 0.7085 6.72e-01
CN 0.7085 6.72e-01
Hagan 0.7186 6.67e-01
LMG3 0.7186 6.98e-01
LMG2 0.7186 6.98e-01
RAN 0.7186 6.98e-01
RE 0.7186 6.98e-01
TRBDF2 0.7186 6.98e-01
CN 0.7186 6.98e-01
Hagan 0.7286 6.96e-01
LMG3 0.7286 7.25e-01
LMG2 0.7286 7.25e-01
RAN 0.7286 7.25e-01
RE 0.7286 7.26e-01
TRBDF2 0.7286 7.25e-01
CN 0.7286 7.25e-01
Hagan 0.7387 7.25e-01
LMG3 0.7387 7.53e-01
LMG2 0.7387 7.53e-01
RAN 0.7387 7.53e-01
RE 0.7387 7.54e-01
TRBDF2 0.7387 7.53e-01
CN 0.7387 7.53e-01
Hagan 0.7487 7.55e-01
LMG3 0.7487 7.82e-01
LMG2 0.7487 7.82e-01
RAN 0.7487 7.82e-01
RE 0.7487 7.82e-01
TRBDF2 0.7487 7.82e-01
CN 0.7487 7.82e-01
Hagan 0.7588 7.86e-01
LMG3 0.7588 8.11e-01
LMG2 0.7588 8.11e-01
RAN 0.7588 8.11e-01
RE 0.7588 8.12e-01
TRBDF2 0.7588 8.11e-01
CN 0.7588 8.11e-01
Hagan 0.7688 8.18e-01
LMG3 0.7688 8.41e-01
LMG2 0.7688 8.41e-01
RAN 0.7688 8.41e-01
RE 0.7688 8.41e-01
TRBDF2 0.7688 8.41e-01
CN 0.7688 8.41e-01
Hagan 0.7789 8.50e-01
LMG3 0.7789 8.72e-01
LMG2 0.7789 8.72e-01
RAN 0.7789 8.72e-01
RE 0.7789 8.72e-01
