Scheme Strike Density
Hagan 0.6665 5.3602e-01
CN 0.6665 5.7068e-01
Hagan 0.6721 5.4897e-01
CN 0.6721 5.8367e-01
Hagan 0.6777 5.6212e-01
CN 0.6777 5.9681e-01
Hagan 0.6832 5.7546e-01
CN 0.6832 6.1010e-01
Hagan 0.6888 5.8899e-01
CN 0.6888 6.2354e-01
Hagan 0.6942 6.0272e-01
CN 0.6942 6.3712e-01
Hagan 0.6997 6.1664e-01
CN 0.6997 6.5084e-01
Hagan 0.7051 6.3073e-01
CN 0.7051 6.6469e-01
Hagan 0.7104 6.4501e-01
CN 0.7104 6.7866e-01
Hagan 0.7157 6.5946e-01
CN 0.7157 6.9275e-01
Hagan 0.7210 6.7408e-01
CN 0.7210 7.0696e-01
Hagan 0.7263 6.8887e-01
CN 0.7263 7.2128e-01
Hagan 0.7315 7.0382e-01
CN 0.7315 7.3570e-01
Hagan 0.7367 7.1892e-01
CN 0.7367 7.5021e-01
Hagan 0.7419 7.3416e-01
CN 0.7419 7.6482e-01
Hagan 0.7470 7.4955e-01
CN 0.7470 7.7950e-01
Hagan 0.7521 7.6507e-01
CN 0.7521 7.9425e-01
Hagan 0.7572 7.8071e-01
CN 0.7572 8.0906e-01
Hagan 0.7622 7.9647e-01
CN 0.7622 8.2393e-01
Hagan 0.7672 8.1234e-01
CN 0.7672 8.3885e-01
Hagan 0.7722 8.2831e-01
CN 0.7722 8.5380e-01
Hagan 0.7771 8.4436e-01
CN 0.7771 8.6878e-01
Hagan 0.7821 8.6050e-01
CN 0.7821 8.8377e-01
Hagan 0.7870 8.7670e-01
CN 0.7870 8.9878e-01
Hagan 0.7918 8.9296e-01
CN 0.7918 9.1377e-01
Hagan 0.7967 9.0926e-01
CN 0.7967 9.2876e-01
Hagan 0.8015 9.2560e-01
CN 0.8015 9.4371e-01
Hagan 0.8063 9.4196e-01
CN 0.8063 9.5863e-01
Hagan 0.8110 9.5832e-01
CN 0.8110 9.7350e-01
Hagan 0.8158 9.7468e-01
CN 0.8158 9.8830e-01
Hagan 0.8205 9.9102e-01
CN 0.8205 1.0030e+00
Hagan 0.8252 1.0073e+00
CN 0.8252 1.0177e+00
Hagan 0.8299 1.0236e+00
CN 0.8299 1.0322e+00
Hagan 0.8345 1.0398e+00
CN 0.8345 1.0467e+00
Hagan 0.8391 1.0559e+00
CN 0.8391 1.0610e+00
Hagan 0.8437 1.0719e+00
CN 0.8437 1.0752e+00
Hagan 0.8483 1.0878e+00
CN 0.8483 1.0892e+00
Hagan 0.8529 1.1036e+00
CN 0.8529 1.1030e+00
Hagan 0.8574 1.1193e+00
CN 0.8574 1.1167e+00
Hagan 0.8620 1.1347e+00
CN 0.8620 1.1302e+00
Hagan 0.8665 1.1501e+00
CN 0.8665 1.1435e+00
Hagan 0.8710 1.1652e+00
CN 0.8710 1.1566e+00
Hagan 0.8754 1.1801e+00
CN 0.8754 1.1694e+00
Hagan 0.8799 1.1947e+00
CN 0.8799 1.1820e+00
Hagan 0.8843 1.2092e+00
CN 0.8843 1.1943e+00
Hagan 0.8887 1.2233e+00
CN 0.8887 1.2063e+00
Hagan 0.8932 1.2372e+00
CN 0.8932 1.2181e+00
Hagan 0.8975 1.2508e+00
CN 0.8975 1.2296e+00
Hagan 0.9019 1.2640e+00
CN 0.9019 1.2407e+00
Hagan 0.9063 1.2769e+00
CN 0.9063 1.2515e+00
Hagan 0.9106 1.2895e+00
CN 0.9106 1.2620e+00
Hagan 0.9150 1.3017e+00
CN 0.9150 1.2721e+00
Hagan 0.9193 1.3135e+00
CN 0.9193 1.2819e+00
Hagan 0.9236 1.3249e+00
CN 0.9236 1.2912e+00
Hagan 0.9279 1.3359e+00
CN 0.9279 1.3002e+00
Hagan 0.9322 1.3465e+00
CN 0.9322 1.3087e+00
Hagan 0.9365 1.3566e+00
CN 0.9365 1.3170e+00
Hagan 0.9408 1.3662e+00
CN 0.9408 1.3250e+00
Hagan 0.9451 1.3753e+00
CN 0.9451 1.3327e+00
Hagan 0.9493 1.3840e+00
CN 0.9493 1.3395e+00
Hagan 0.9536 1.3921e+00
CN 0.9536 1.3444e+00
Hagan 0.9578 1.3998e+00
CN 0.9578 1.3475e+00
Hagan 0.9620 1.4068e+00
CN 0.9620 1.3520e+00
Hagan 0.9663 1.4134e+00
CN 0.9663 1.3666e+00
Hagan 0.9705 1.4194e+00
CN 0.9705 1.3958e+00
Hagan 0.9747 1.4248e+00
CN 0.9747 1.4045e+00
Hagan 0.9789 1.4296e+00
CN 0.9789 1.2859e+00
Hagan 0.9832 1.4339e+00
CN 0.9832 1.0443e+00
Hagan 0.9874 1.4375e+00
CN 0.9874 1.5999e+00
Hagan 0.9916 1.4406e+00
CN 0.9916 4.5680e+00
Hagan 0.9958 1.4430e+00
CN 0.9958 -8.1322e+00
Hagan 1.0000 1.4448e+00
CN 1.0000 1.4321e+01
Hagan 1.0042 1.4461e+00
CN 1.0042 -8.1337e+00
Hagan 1.0084 1.4467e+00
CN 1.0084 4.5727e+00
Hagan 1.0126 1.4466e+00
CN 1.0126 1.6043e+00
Hagan 1.0168 1.4460e+00
CN 1.0168 1.0495e+00
Hagan 1.0210 1.4447e+00
CN 1.0210 1.2926e+00
Hagan 1.0252 1.4428e+00
