t F Q
1.0 -0.004739336492890996 0.0
1.0 0.004739336492890996 0.0
1.0 0.014218009478672987 0.0
1.0 0.023696682464454978 0.0
1.0 0.03317535545023697 0.0
1.0 0.04265402843601896 0.0
1.0 0.05213270142180095 0.0
1.0 0.06161137440758294 0.0
1.0 0.07109004739336494 0.0
1.0 0.08056872037914692 0.0
1.0 0.09004739336492892 0.0
1.0 0.0995260663507109 0.0
1.0 0.1090047393364929 0.0
1.0 0.11848341232227488 0.0
1.0 0.1279620853080569 0.0
1.0 0.13744075829383887 0.0
1.0 0.14691943127962087 0.0
1.0 0.15639810426540285 0.0
1.0 0.16587677725118485 0.0
1.0 0.17535545023696683 0.0
1.0 0.18483412322274884 0.0
1.0 0.1943127962085308 0.0
1.0 0.20379146919431282 0.0
1.0 0.2132701421800948 0.0
1.0 0.2227488151658768 0.0
1.0 0.23222748815165878 0.0
1.0 0.24170616113744078 0.0
1.0 0.2511848341232228 0.0
1.0 0.26066350710900477 0.0
1.0 0.27014218009478674 0.0
1.0 0.2796208530805687 0.0
1.0 0.28909952606635075 0.0
1.0 0.29857819905213273 0.0
1.0 0.3080568720379147 0.0
1.0 0.3175355450236967 0.0
1.0 0.3270142180094787 0.0
1.0 0.3364928909952607 0.0
1.0 0.3459715639810427 0.0
1.0 0.35545023696682465 0.0
1.0 0.3649289099526067 0.0
1.0 0.37440758293838866 0.0
1.0 0.38388625592417064 0.0
1.0 0.3933649289099526 0.0
1.0 0.40284360189573465 0.0
1.0 0.4123222748815166 0.0
1.0 0.4218009478672986 0.0
1.0 0.4312796208530806 0.0
1.0 0.4407582938388626 0.0
1.0 0.4502369668246446 0.0
1.0 0.45971563981042657 0.0
1.0 0.46919431279620855 0.0
1.0 0.4786729857819906 0.0
1.0 0.48815165876777256 0.0
1.0 0.49763033175355453 0.0
1.0 0.5071090047393365 0.0
1.0 0.5165876777251185 0.0
1.0 0.5260663507109005 0.0
1.0 0.5355450236966826 0.0
1.0 0.5450236966824645 0.0
1.0 0.5545023696682465 0.0
1.0 0.5639810426540285 0.0
1.0 0.5734597156398105 0.0
1.0 0.5829383886255924 0.0
1.0 0.5924170616113744 0.0
1.0 0.6018957345971564 0.0
1.0 0.6113744075829385 0.0
